from_stop_id,to_stop_id,transfer_type,min_transfer_time
6741479,6742351,2,99
6741479,6742352,2,113
6741449,6742332,2,31
4238707,6742332,2,31
4238653,6742331,2,31
8206953,6742335,2,110
6741479,6742356,2,113
6741477,6742320,2,133
6742328,4035649,2,58
4238763,6742329,2,41
4238763,6742328,2,58
8206953,6742336,2,97
6741615,6742332,2,31
6742414,6742315,2,71
4230050,6742332,2,31
6742416,6742314,2,113
4238702,6742328,2,58
4238702,6742329,2,41
6741630,6742315,2,70
6742416,6742352,2,113
6742416,6742351,2,99
4238703,6742328,2,54
6742416,6742356,2,113
6741477,6742315,2,71
6741451,6742334,2,18
6742417,6742352,2,98
4238703,6742329,2,27
6742331,4035653,2,31
4238650,6742329,2,41
4238650,6742328,2,58
4695664,6742336,2,97
4230046,6742335,2,110
4230047,6742333,2,18
4695664,6742335,2,110
4230046,6742336,2,97
6741480,6742351,2,142
6741480,6742352,2,97
6741480,6742314,2,30
6741478,6742315,2,31
6741480,6742355,2,82
6741480,6742356,2,30
6742329,4035650,2,27
6741450,6742331,2,31
6742417,6742314,2,15
6741479,6742321,2,8
6742415,6742320,2,102
6742416,6742321,2,8
6742389,6742337,2,72
8206952,6742338,2,37
4695650,6742336,2,97
6741478,6742320,2,102
6741631,6742321,2,8
4695650,6742335,2,110
4230049,6742331,2,31
6742389,6742338,2,68
4230048,6742334,2,18
4695677,6742336,2,80
4695677,6742335,2,83
4238654,6742332,2,31
6741616,6742334,2,18
4695636,6742335,2,80
6741480,6742321,2,73
4695636,6742336,2,79
6742417,6742355,2,97
6742388,6742338,2,75
6742417,6742356,2,15
6742388,6742337,2,81
4695663,6742336,2,90
6741479,6742314,2,113
6741631,6742356,2,113
4695663,6742335,2,102
6742415,6742315,2,31
6742417,6742321,2,88
6741631,6742314,2,113
6742328,4035650,2,54
8206925,6742337,2,37
6741631,6742352,2,113
6741631,6742351,2,99
8206926,6742336,2,97
6742329,4035649,2,41
4238765,6742331,2,31
6741452,6742333,2,18
8206926,6742335,2,110
4238706,6742331,2,31
6741630,6742320,2,122
8206999,6742336,2,18
4695649,6742336,2,80
8206951,6742337,2,37
4230045,6742335,2,80
4695649,6742335,2,83
4230045,6742336,2,79
6742414,6742320,2,133
6742332,4035654,2,31
