from_stop_id,to_stop_id,transfer_type,min_transfer_time
5816776,8379597,2,10
5816776,8379598,2,7
5816795,8379601,2,122
5816778,8379686,2,95
8451903,5816802,2,103
5816789,8379760,2,17
5816809,8379696,2,79
5816779,8379633,2,82
5816797,8379597,2,138
5816780,8379636,2,17
5816797,8379598,2,135
5816793,8379570,2,36
5816781,8379691,2,135
8451897,5816817,2,110
5816779,8379632,2,67
5816788,8379644,2,29
5816786,8379641,2,79
5816785,8379696,2,79
8452029,5816802,2,103
8452024,5816816,2,67
8452024,5816817,2,135
8452275,5816793,2,79
5816783,8379678,2,30
5816778,8379687,2,144
5816782,8379680,2,127
5816781,6251743,2,135
5816776,8379596,2,101
5816776,8379595,2,94
5816811,8379698,2,29
8451923,5816793,2,50
5816781,8379761,2,135
5816816,8379688,2,19
5816816,8379686,2,65
8452023,5816817,2,110
5816816,8379687,2,67
5816814,8379761,2,127
8452023,5816816,2,110
5816802,8379552,2,91
5816789,8379759,2,17
8452270,5816817,2,135
5816770,8379598,2,135
8452270,5816816,2,67
5816770,8379597,2,138
8452287,5816802,2,27
5816781,8379735,2,135
5816785,8379642,2,79
5816793,8379551,2,72
8452029,5816793,2,79
5816822,8379602,2,90
5816781,8379637,2,135
5816812,8379678,2,144
5816778,8379632,2,95
5816778,8379633,2,144
5816819,8379598,2,11
5816819,8379595,2,90
5816819,8379596,2,99
5816793,8379552,2,36
5816783,8379696,2,119
5816799,8379602,2,90
5816814,8379637,2,127
5816815,6251726,2,17
5816812,8379733,2,144
8452287,5816793,2,50
8451915,5816802,2,27
5816784,8379642,2,144
5816783,8379733,2,30
8452270,5816778,2,144
8452270,5816779,2,82
8451897,5816816,2,110
5816796,8379601,2,117
5816796,8379602,2,135
8452023,5816778,2,101
8452023,5816779,2,93
5816780,8379690,2,17
5816812,8379695,2,79
5816771,8379597,2,138
5816771,8379598,2,135
5816799,8379626,2,135
5816819,6251721,2,61
5816813,8379696,2,144
5816782,6251743,2,127
5816810,8379698,2,29
8451903,5816793,2,79
8451897,5816778,2,101
8451897,5816779,2,93
5816814,8379691,2,127
5816776,6251744,2,98
8451926,5816778,2,144
5816816,8379634,2,19
5816816,8379633,2,67
5816806,6251729,2,65
5816816,8379632,2,65
8451926,5816779,2,82
5816811,8379644,2,29
5816786,8379780,2,144
8452275,5816802,2,103
5816806,6251730,2,45
8451898,5816817,2,135
5816774,8379599,2,15
8451898,5816816,2,67
5816810,8379644,2,29
5816778,6251723,2,15
8451926,5816817,2,135
8451926,5816816,2,67
5816788,8379698,2,29
5816786,8379695,2,79
5816816,6251724,2,19
5816809,8379642,2,79
8452041,5816802,2,27
5816815,8379689,2,17
5816822,8379626,2,135
5816773,8379626,2,135
5816783,8379642,2,119
5816779,8379687,2,82
5816780,6251727,2,17
5816779,8379686,2,67
5816787,8379644,2,29
8452269,5816778,2,101
8452269,5816779,2,93
5816783,8379780,2,30
5816784,8379696,2,144
5816775,8379599,2,15
5816779,6251725,2,19
5816819,6251744,2,90
5816813,8379642,2,144
5816776,6251721,2,53
8452269,5816816,2,110
8452269,5816817,2,110
8452024,5816779,2,82
8452041,5816793,2,50
8451898,5816779,2,82
8451898,5816778,2,144
5816817,8379632,2,89
5816817,8379633,2,135
5816817,8379687,2,135
5816817,8379686,2,89
5816782,8379735,2,127
8451923,5816802,2,27
5816802,8379570,2,91
5816787,8379698,2,29
5816815,8379635,2,17
5816820,8379597,2,136
8452024,5816778,2,144
5816820,8379598,2,132
5816812,8379780,2,144
5816781,8379680,2,135
5816786,8379678,2,144
5816817,6251722,2,15
5816786,8379733,2,144
8451915,5816793,2,50
5816814,6251728,2,127
5816781,6251728,2,135
5816806,8379762,2,65
5816812,8379641,2,79
5816773,8379602,2,90
