service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3107343,0,0,0,0,0,0,0,20200108,20200520
3107344,0,0,0,0,0,0,0,20200212,20200415
3107341,0,0,0,0,0,0,0,20200106,20200519
3107342,0,0,0,0,0,0,0,20200102,20200416
3107347,0,0,0,0,0,0,0,20200110,20200515
3107348,0,0,0,0,0,0,0,20200103,20200417
3107345,0,0,0,0,0,0,0,20200111,20200516
3107346,0,0,0,0,0,0,0,20200104,20200418
2991550,0,0,0,0,0,0,0,20191224,20191231
2991544,0,0,0,0,0,0,0,20191223,20191230
2991543,0,0,0,0,0,0,0,20191125,20191219
2991548,0,0,0,0,0,0,0,20191221,20191228
2991547,0,0,0,0,0,0,0,20191123,20191214
2991545,0,0,0,0,0,0,0,20191127,20191218
2991549,0,0,0,0,0,0,0,20191122,20191220
