from_stop_id,to_stop_id,transfer_type,min_transfer_time
5673016,4471762,2,127
5673030,7275704,2,109
5673030,7275703,2,106
5673016,4471763,2,139
5673023,4677703,2,57
5673015,4471763,2,25
5673038,3686419,2,84
5673020,4677707,2,100
5673020,4677706,2,57
5673033,3785959,2,51
5673022,3686439,2,87
5673022,4677774,2,39
5673016,6563549,2,99
5673009,6563551,2,18
5673031,3620244,2,115
5673029,3785952,2,135
5673031,3620245,2,137
5673031,7275706,2,137
5673023,4677740,2,115
5673031,7275705,2,115
5673038,3686420,2,81
5673022,4677704,2,39
5673023,4677773,2,57
5673016,4378382,2,99
5673022,4677674,2,34
5673036,7275708,2,134
5673020,4471813,2,100
5673030,3686440,2,106
5673016,4677780,2,127
5673015,4378382,2,90
5673008,6563552,2,141
5673016,4677782,2,139
5673036,7275707,2,116
5673038,3686468,2,81
5673023,4677673,2,57
5673022,3686347,2,87
5673022,3686346,2,77
5673038,3686440,2,81
5673030,3686420,2,106
5673030,3620243,2,109
5673021,6563553,2,77
5673015,6563549,2,90
5673030,3686344,2,109
5673030,3686345,2,106
5673030,3620242,2,106
5673038,3620242,2,81
5673020,4471760,2,57
5673030,3730078,2,106
5673012,6563550,2,44
5673030,3730079,2,109
5673039,4378378,2,132
5673031,3730080,2,115
5673031,3730081,2,137
5673038,3686344,2,84
5673022,3686421,2,77
5673038,3686345,2,81
5673036,3620246,2,116
5673021,4378377,2,64
5673008,4378378,2,135
5673036,3620247,2,134
5673038,3785951,2,5
5673038,3730079,2,84
5673036,3730083,2,134
5673022,3730077,2,77
5673038,3785952,2,24
5673038,3730078,2,81
5673022,3620241,2,77
5673023,4471758,2,57
5673022,3620240,2,87
5673022,3686422,2,87
5673028,3785950,2,25
5673023,4471815,2,115
5673038,3620243,2,84
5673022,3730076,2,87
5673036,3730082,2,116
5673022,7275701,2,87
5673023,4677794,2,115
5673022,7275702,2,77
5673022,3686467,2,87
5673030,3686419,2,109
5673016,4677712,2,139
5673015,4677712,2,25
5673030,3785952,2,6
5673030,3686468,2,106
5673016,4677710,2,127
5673020,4677777,2,100
5673030,3785951,2,22
5673015,4677782,2,25
5673020,4677776,2,57
5673038,7275703,2,81
5673022,4471759,2,39
5673039,6563552,2,141
5673038,7275704,2,84
