trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
1030871371797514,03:48:00,03:48:00,4036617,1,,
1030871371797514,03:49:00,03:49:00,4036618,2,,
1030871371797514,03:49:00,03:49:00,4036619,3,,
1030871371797514,03:50:00,03:50:00,4036620,4,,
1030871371797514,03:51:00,03:51:00,4036621,5,,
1030871371797514,03:52:00,03:52:00,4036622,6,,
1030871371797514,03:53:00,03:53:00,4036623,7,,
1030871371797514,03:54:00,03:54:00,4036624,8,,
1030871371797514,03:55:00,03:55:00,4036625,9,,
1030871371797514,03:57:00,03:57:00,4036626,10,,
1030871371797514,03:57:00,03:57:00,4036627,11,,
1030871371797514,03:58:00,03:58:00,4036628,12,,
1030871371797514,03:59:00,03:59:00,4036629,13,,
1030871371797514,03:59:00,03:59:00,4036630,14,,
1030871371797514,04:00:00,04:00:00,4036631,15,,
1030871371797514,04:01:00,04:01:00,4036632,16,,
1030871371797514,04:02:00,04:02:00,4036633,17,,
1030871371797514,04:03:00,04:03:00,4036634,18,,
1030871371797514,04:04:00,04:04:00,4036635,19,,
1030871371797514,04:04:00,04:04:00,4036636,20,,
1030871371797514,04:06:00,04:06:00,4036637,21,,
1030871371797514,04:06:00,04:06:00,5138083,22,,
1030871371797514,04:07:00,04:07:00,4036639,23,,
1030871371797514,04:09:00,04:09:00,4036640,24,,
1030871371797514,04:10:00,04:10:00,4036641,25,,
1030871371797514,04:12:00,04:12:00,4036642,26,,
1030871371797514,04:12:00,04:12:00,4036643,27,,
1030871371797514,04:13:00,04:13:00,4036644,28,,
1030871371797514,04:14:00,04:14:00,4036645,29,,
1030871371797514,04:15:00,04:15:00,4036646,30,,
1030871371797514,04:16:00,04:16:00,4036647,31,,
1030871371797514,04:17:00,04:17:00,7161644,32,,
1030871371797514,04:19:00,04:19:00,4036649,33,,
1030871371797514,04:20:00,04:20:00,4036650,34,,
1030871371797514,04:21:00,04:21:00,4036651,35,,
1030871371797514,04:22:00,04:22:00,4036652,36,,
1030871371797514,04:23:00,04:23:00,4036653,37,,
1030871371797514,04:24:00,04:24:00,4036654,38,,
1030871371797514,04:25:00,04:25:00,4036655,39,,
1030871371797514,04:26:00,04:26:00,4036656,40,,
1030871371797514,04:27:00,04:27:00,4036657,41,,
1030871371797514,04:28:00,04:28:00,4036658,42,,
1030871371797514,04:29:00,04:29:00,4036659,43,,
1030871371797514,04:29:00,04:29:00,4036660,44,,
1030871371797514,04:30:00,04:30:00,4036661,45,,
1030871371797514,04:31:00,04:31:00,4036662,46,,
1030871371797514,04:33:00,04:33:00,4036663,47,,
1030871371797514,04:37:00,04:37:00,4036664,48,,
1030871371797514,04:38:00,04:38:00,4036665,49,,
1030871371797514,04:39:00,04:39:00,4036666,50,,
1030871371797514,04:41:00,04:41:00,4036667,51,,
1030871371797514,04:42:00,04:42:00,4036668,52,,
1030871371797514,04:45:00,04:45:00,4036669,53,,
1030871371797514,04:46:00,04:46:00,4036670,54,,
1030871381797514,02:00:00,02:00:00,4036617,1,,
1030871381797514,02:01:00,02:01:00,4036618,2,,
1030871381797514,02:01:00,02:01:00,4036619,3,,
1030871381797514,02:02:00,02:02:00,4036620,4,,
1030871381797514,02:03:00,02:03:00,4036621,5,,
1030871381797514,02:04:00,02:04:00,4036622,6,,
1030871381797514,02:05:00,02:05:00,4036623,7,,
1030871381797514,02:06:00,02:06:00,4036624,8,,
1030871381797514,02:07:00,02:07:00,4036625,9,,
1030871381797514,02:09:00,02:09:00,4036626,10,,
1030871381797514,02:09:00,02:09:00,4036627,11,,
1030871381797514,02:10:00,02:10:00,4036628,12,,
1030871381797514,02:11:00,02:11:00,4036629,13,,
1030871381797514,02:11:00,02:11:00,4036630,14,,
1030871381797514,02:13:00,02:13:00,4036631,15,,
1030871381797514,02:14:00,02:14:00,4036632,16,,
1030871381797514,02:14:00,02:14:00,4036633,17,,
1030871381797514,02:15:00,02:15:00,4036634,18,,
1030871381797514,02:16:00,02:16:00,4036635,19,,
1030871381797514,02:17:00,02:17:00,4036636,20,,
1030871381797514,02:18:00,02:18:00,4036637,21,,
1030871381797514,02:19:00,02:19:00,5138083,22,,
1030871381797514,02:20:00,02:20:00,4036639,23,,
1030871381797514,02:22:00,02:22:00,4036640,24,,
1030871381797514,02:24:00,02:24:00,4036641,25,,
1030871381797514,02:26:00,02:26:00,4036642,26,,
1030871381797514,02:27:00,02:27:00,4036643,27,,
1030871381797514,02:28:00,02:28:00,4036644,28,,
1030871381797514,02:29:00,02:29:00,4036645,29,,
1030871381797514,02:30:00,02:30:00,4036646,30,,
1030871381797514,02:32:00,02:32:00,4036647,31,,
1030871381797514,02:33:00,02:33:00,7161644,32,,
1030871381797514,02:35:00,02:35:00,4036649,33,,
1030871381797514,02:37:00,02:37:00,4036650,34,,
1030871381797514,02:38:00,02:38:00,4036651,35,,
1030871381797514,02:39:00,02:39:00,4036652,36,,
1030871381797514,02:40:00,02:40:00,4036653,37,,
1030871381797514,02:42:00,02:42:00,4036654,38,,
1030871381797514,02:43:00,02:43:00,4036655,39,,
1030871381797514,02:44:00,02:44:00,4036656,40,,
1030871381797514,02:45:00,02:45:00,4036657,41,,
1030871381797514,02:47:00,02:47:00,4036658,42,,
1030871381797514,02:48:00,02:48:00,4036659,43,,
1030871381797514,02:48:00,02:48:00,4036660,44,,
1030871381797514,02:49:00,02:49:00,4036661,45,,
1030871381797514,02:51:00,02:51:00,4036662,46,,
1030871381797514,02:53:00,02:53:00,4036663,47,,
1030871381797514,02:57:00,02:57:00,4036664,48,,
1030871381797514,02:58:00,02:58:00,4036665,49,,
1030871381797514,02:59:00,02:59:00,4036666,50,,
1030871381797514,03:01:00,03:01:00,4036667,51,,
1030871381797514,03:02:00,03:02:00,4036668,52,,
1030871381797514,03:05:00,03:05:00,4036669,53,,
1030871381797514,03:06:00,03:06:00,4036670,54,,
1130871371797514,04:10:00,04:10:00,4036617,1,,
1130871371797514,04:11:00,04:11:00,4036618,2,,
1130871371797514,04:11:00,04:11:00,4036619,3,,
1130871371797514,04:12:00,04:12:00,4036620,4,,
1130871371797514,04:12:00,04:12:00,4036621,5,,
1130871371797514,04:13:00,04:13:00,4036622,6,,
1130871371797514,04:14:00,04:14:00,4036623,7,,
1130871371797514,04:15:00,04:15:00,4036624,8,,
1130871371797514,04:16:00,04:16:00,4036625,9,,
