from_stop_id,to_stop_id,transfer_type,min_transfer_time
5675641,8452301,2,72
5675685,2074,2,256
5675681,3620269,2,45
5675614,3619882,2,54
5675614,3619881,2,40
5675629,3663640,2,109
7931473,5675649,2,39
5675607,3619720,2,102
5675670,3619294,2,18
3686560,5675664,2,112
5675657,3619913,2,24
5675641,7965039,2,79
5675673,3619724,2,17
5675626,3619912,2,98
5675643,2210,2,288
5675619,3619816,2,40
5675620,3619814,2,30
5478365,5675635,2,14
5675643,2211,2,259
5675660,3619809,2,70
5675640,8219800,2,27
5675644,7965055,2,44
5675649,5325151,2,32
5675649,5325152,2,52
3686555,5675621,2,35
5675663,3730096,2,62
5675612,3687037,2,70
3343808,5675629,2,277
5675644,8452185,2,62
5675644,8452186,2,62
5675674,5944776,2,84
5675643,7898842,2,76
5675679,6270776,2,27
3343810,5675657,2,203
3343810,5675656,2,286
5675640,7964981,2,27
5675644,2210,2,398
7931463,5675654,2,109
5675644,2211,2,207
7931478,5675645,2,27
5675617,3619820,2,11
5675629,3619743,2,26
5675625,3619806,2,83
5675613,3619295,2,18
5675625,3619807,2,115
5675664,3619817,2,40
3686547,5675626,2,98
5675641,7965055,2,36
5675642,1166833,2,265
5675620,3687043,2,80
5675642,1166832,2,265
3686551,5675624,2,70
5675644,8219801,2,79
5675620,3686997,2,80
5675662,3619813,2,35
5675643,7964943,2,27
5675629,3686374,2,54
3686545,5675627,2,24
5675620,3686998,2,93
5675675,5944776,2,43
5675639,7920845,2,43
5150763,5675643,2,52
7899749,5675641,2,72
3686544,5675656,2,139
7899661,5675644,2,79
5675620,7275722,2,93
5675620,7275721,2,80
5675622,5688851,2,211
5675622,5688852,2,180
5675644,8321691,2,62
5675658,3619911,2,98
5675606,3619896,2,129
5675680,3620267,2,29
5675659,3619909,2,48
5675609,5944776,2,135
4471843,5675643,2,76
3686539,5675654,2,136
5478365,5675649,2,52
5675677,3620261,2,31
5675622,3619860,2,83
5675639,7898939,2,43
5675622,3619861,2,135
5675598,2123,2,256
5675622,3619862,2,180
5675622,3619863,2,211
5675661,5688852,2,218
5675626,3619942,2,98
5675667,3619823,2,54
5675661,5688851,2,239
5675660,3619937,2,45
3686542,5675655,2,49
5675637,7932076,2,24
5675660,3619938,2,53
5478400,5675653,2,124
5675659,3619910,2,80
5675676,3620259,2,13
5675629,3663669,2,109
5675637,7932077,2,45
3343808,5675654,2,189
7931508,5675633,2,30
3343809,5675627,2,191
5675644,5231612,2,54
3343810,5675627,2,191
7931503,5675640,2,27
5675643,7920979,2,6
5675644,7964942,2,44
5675606,3620260,2,31
5675675,3619723,2,97
5675643,1166833,2,259
5675643,1166832,2,259
5675654,8219783,2,109
5675645,8219799,2,27
5675644,1166832,2,207
5675644,1166833,2,207
5675654,3663714,2,36
5675602,3619310,2,45
4723801,5675649,2,15
4723802,5675649,2,52
5675641,3926339,2,72
5675641,1955,2,356
5675657,3619943,2,24
5675625,3619909,2,83
5675641,1956,2,216
5675641,1166832,2,207
7931504,5675638,2,20
5675624,3619937,2,102
5675641,1166833,2,207
5675668,3619773,2,109
5675624,3619938,2,113
5675632,7986470,2,123
5675620,3730095,2,80
3343819,5675676,2,83
5675668,3619774,2,43
5675620,3730096,2,93
5675671,3619831,2,25
5675604,3619741,2,110
5675639,2117,2,196
5675654,3619744,2,36
5675629,3781668,2,26
5675654,3619743,2,91
5675643,8452187,2,52
7931509,5675632,2,115
7931479,5675644,2,44
5675658,3619941,2,98
5675621,3619812,2,35
5675671,3686986,2,45
5675663,3686998,2,62
5675663,3686997,2,78
7931479,5675641,2,36
5675671,3686987,2,60
7931470,5675650,2,115
4723801,5675635,2,52
5675625,3619910,2,115
5675644,8321659,2,62
3343825,5675607,2,85
5675644,8321658,2,36
7931469,5675651,2,22
5675614,3619826,2,26
5675622,3619810,2,82
4037262,5675642,2,22
5675612,3619728,2,64
5675612,3619729,2,25
5675670,3619829,2,18
7931506,5675636,2,57
5675624,3619808,2,70
5675640,7898844,2,27
5675671,3619728,2,63
5675613,3619880,2,18
5675607,3620258,2,13
5675659,3619939,2,35
5675606,3619716,2,124
5675682,2490,2,229
3686552,5675660,2,70
5675608,3619722,2,135
5675632,5325165,2,123
5675647,7932076,2,45
5675606,3619715,2,138
5675650,5325156,2,115
5675608,3619723,2,84
5675644,4036206,2,54
5675642,7920978,2,22
5675641,2210,2,356
5675641,2211,2,216
3343809,5675656,2,286
3343809,5675657,2,203
5675654,3686375,2,36
5675654,3686374,2,56
3686548,5675658,2,98
5675653,7899045,2,89
3686545,5675656,2,142
5675639,7964982,2,43
7931464,5675653,2,89
3343812,5675624,2,199
5675663,3730095,2,78
3686553,5675622,2,82
3686543,5675657,2,142
5675632,5325155,2,115
3686559,5675664,2,99
5675650,5325165,2,100
5675639,1166830,2,196
