trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
10030276472059919,23:20:00,23:20:00,8079726,1,,
10030276472059919,23:26:00,23:26:00,8079728,2,,
10030276472059919,23:40:00,23:40:00,8079729,3,,
10030276472059919,23:45:00,23:45:00,8079730,4,,
10030276482059919,23:30:00,23:30:00,8079726,1,,
10030276482059919,23:38:00,23:38:00,8079728,2,,
10030276482059919,23:51:00,23:51:00,8079729,3,,
10030276482059919,23:56:00,23:56:00,8079730,4,,
10030276512059919,23:10:00,23:10:00,8079726,1,,
10030276512059919,23:18:00,23:18:00,8079728,2,,
10030276512059919,23:30:00,23:30:00,8079729,3,,
10030276512059919,23:35:00,23:35:00,8079730,4,,
10030485942059919,22:41:00,22:41:00,8079726,1,,
10030485942059919,22:49:00,22:49:00,8079728,2,,
10030485942059919,23:01:00,23:01:00,8079729,3,,
10030485942059919,23:06:00,23:06:00,8079730,4,,
10130276472059919,23:30:00,23:30:00,8079726,1,,
10130276472059919,23:36:00,23:36:00,8079728,2,,
10130276472059919,23:50:00,23:50:00,8079729,3,,
10130276472059919,23:55:00,23:55:00,8079730,4,,
10130276482059919,23:45:00,23:45:00,8079726,1,,
10130276482059919,23:53:00,23:53:00,8079728,2,,
10130276482059919,24:06:00,24:06:00,8079729,3,,
10130276482059919,24:11:00,24:11:00,8079730,4,,
10130276512059919,23:20:00,23:20:00,8079726,1,,
10130276512059919,23:28:00,23:28:00,8079728,2,,
10130276512059919,23:40:00,23:40:00,8079729,3,,
10130276512059919,23:45:00,23:45:00,8079730,4,,
10130485942059919,22:50:00,22:50:00,8079726,1,,
10130485942059919,22:58:00,22:58:00,8079728,2,,
10130485942059919,23:10:00,23:10:00,8079729,3,,
10130485942059919,23:15:00,23:15:00,8079730,4,,
10230276472059919,23:40:00,23:40:00,8079726,1,,
10230276472059919,23:46:00,23:46:00,8079728,2,,
10230276472059919,24:00:00,24:00:00,8079729,3,,
10230276472059919,24:05:00,24:05:00,8079730,4,,
10230276482059919,00:00:00,00:00:00,8079726,1,,
10230276482059919,00:08:00,00:08:00,8079728,2,,
10230276482059919,00:21:00,00:21:00,8079729,3,,
10230276482059919,00:26:00,00:26:00,8079730,4,,
10230276512059919,23:30:00,23:30:00,8079726,1,,
10230276512059919,23:38:00,23:38:00,8079728,2,,
10230276512059919,23:50:00,23:50:00,8079729,3,,
10230276512059919,23:55:00,23:55:00,8079730,4,,
10230485942059919,23:00:00,23:00:00,8079726,1,,
10230485942059919,23:08:00,23:08:00,8079728,2,,
10230485942059919,23:20:00,23:20:00,8079729,3,,
10230485942059919,23:25:00,23:25:00,8079730,4,,
1030276472059919,07:54:00,07:54:00,8079726,1,,
1030276472059919,08:00:00,08:00:00,8079728,2,,
1030276472059919,08:14:00,08:14:00,8079729,3,,
1030276472059919,08:19:00,08:19:00,8079730,4,,
1030276482059919,07:10:00,07:10:00,8079726,1,,
1030276482059919,07:17:00,07:17:00,8079728,2,,
1030276482059919,07:31:00,07:31:00,8079729,3,,
1030276482059919,07:36:00,07:36:00,8079730,4,,
1030276492059919,07:38:00,07:38:00,8079726,1,,
1030276492059919,07:45:00,07:45:00,8079728,2,,
1030276492059919,08:00:00,08:00:00,8079729,3,,
1030276492059919,08:05:00,08:05:00,8079730,4,,
1030276502059919,07:51:00,07:51:00,8079726,1,,
1030276502059919,07:58:00,07:58:00,8079728,2,,
1030276502059919,08:11:00,08:11:00,8079729,3,,
1030276502059919,08:16:00,08:16:00,8079730,4,,
1030276512059919,07:20:00,07:20:00,8079726,1,,
1030276512059919,07:27:00,07:27:00,8079728,2,,
1030276512059919,07:43:00,07:43:00,8079729,3,,
1030276512059919,07:48:00,07:48:00,8079730,4,,
1030485912059919,07:10:00,07:10:00,8079726,1,,
1030485912059919,07:17:00,07:17:00,8079728,2,,
1030485912059919,07:31:00,07:31:00,8079729,3,,
1030485912059919,07:36:00,07:36:00,8079730,4,,
1030485922059919,07:30:00,07:30:00,8079726,1,,
1030485922059919,07:37:00,07:37:00,8079728,2,,
1030485922059919,07:52:00,07:52:00,8079729,3,,
1030485922059919,07:57:00,07:57:00,8079730,4,,
1030485932059919,07:40:00,07:40:00,8079726,1,,
1030485932059919,07:47:00,07:47:00,8079728,2,,
1030485932059919,08:00:00,08:00:00,8079729,3,,
1030485932059919,08:05:00,08:05:00,8079730,4,,
1030485942059919,07:16:00,07:16:00,8079726,1,,
1030485942059919,07:22:00,07:22:00,8079728,2,,
1030485942059919,07:38:00,07:38:00,8079729,3,,
1030485942059919,07:43:00,07:43:00,8079730,4,,
10330276472059919,23:50:00,23:50:00,8079726,1,,
10330276472059919,23:56:00,23:56:00,8079728,2,,
10330276472059919,24:10:00,24:10:00,8079729,3,,
10330276472059919,24:15:00,24:15:00,8079730,4,,
10330276512059919,23:40:00,23:40:00,8079726,1,,
10330276512059919,23:48:00,23:48:00,8079728,2,,
10330276512059919,24:00:00,24:00:00,8079729,3,,
10330276512059919,24:05:00,24:05:00,8079730,4,,
10330485942059919,23:10:00,23:10:00,8079726,1,,
10330485942059919,23:18:00,23:18:00,8079728,2,,
10330485942059919,23:30:00,23:30:00,8079729,3,,
10330485942059919,23:35:00,23:35:00,8079730,4,,
10430276472059919,00:00:00,00:00:00,8079726,1,,
10430276472059919,00:06:00,00:06:00,8079728,2,,
10430276472059919,00:20:00,00:20:00,8079729,3,,
10430276472059919,00:25:00,00:25:00,8079730,4,,
10430276512059919,23:50:00,23:50:00,8079726,1,,
10430276512059919,23:58:00,23:58:00,8079728,2,,
10430276512059919,24:10:00,24:10:00,8079729,3,,
10430276512059919,24:15:00,24:15:00,8079730,4,,
10430485942059919,23:20:00,23:20:00,8079726,1,,
10430485942059919,23:28:00,23:28:00,8079728,2,,
10430485942059919,23:40:00,23:40:00,8079729,3,,
10430485942059919,23:45:00,23:45:00,8079730,4,,
10530276512059919,00:00:00,00:00:00,8079726,1,,
10530276512059919,00:08:00,00:08:00,8079728,2,,
