from_stop_id,to_stop_id,transfer_type,min_transfer_time
8079730,8452018,2,13
8079730,8452019,2,108
8079730,22794,2,26
8079726,7945927,2,105
8079726,7921367,2,63
8079727,5138195,2,37
8079727,7945927,2,105
8079727,7946400,2,63
8079731,8452265,2,108
8079731,8452264,2,13
8079728,3813525,2,101
8079731,8452018,2,13
8079728,3813524,2,104
8079731,8452019,2,108
8079730,4471786,2,13
8079730,4471787,2,13
8079726,7946400,2,63
8079730,4677736,2,13
8079730,4677737,2,13
8079727,4378105,2,27
8079726,5138195,2,37
8079731,4284898,2,129
8079731,4284899,2,125
8079730,8452265,2,108
8079730,8452264,2,13
8079726,7275459,2,105
8079727,7275459,2,105
8079727,4378088,2,34
8079729,22791,2,18
8079727,4378089,2,27
8079726,2185,2,270
2187,8079726,2,330
8079726,2186,2,270
8079726,1997,2,270
2187,8079727,2,330
8079726,1996,2,270
8079729,22792,2,18
8079730,4284898,2,129
8079730,4284899,2,125
8079728,7921044,2,67
8079726,4378105,2,27
8079731,22794,2,26
8079728,7921115,2,67
8079731,22793,2,26
8079727,7921308,2,34
8079731,4677736,2,13
8079731,4677737,2,13
8079726,4378088,2,34
8079726,7921308,2,34
8079727,2186,2,270
8079727,2185,2,270
8079727,7921367,2,63
8079731,4471787,2,13
8079726,4378089,2,27
8079731,4471786,2,13
8079726,7932106,2,55
8079730,22793,2,26
8079726,7932105,2,55
8079727,1996,2,270
8079732,7921300,2,9
8079727,1997,2,270
8079732,7921301,2,9
8079726,7932104,2,72
1998,8079727,2,330
1998,8079726,2,330
8079727,7932106,2,55
8079727,7932105,2,55
8079727,7932104,2,72
