from_stop_id,to_stop_id,transfer_type,min_transfer_time
7714335,8399899,2,72
7714338,1747,2,206
7899694,7714380,2,40
7714380,5121378,2,33
7714380,1747,2,218
7714379,1755,2,230
7714333,5121350,2,86
2416,7714372,2,195
7714334,6591513,2,92
7714379,2433,2,230
7714333,5121351,2,29
2416,7714371,2,198
7714380,5121561,2,46
7714380,5121562,2,47
7714331,7913267,2,64
7714331,7913266,2,97
7714367,3749710,2,90
4023265,7714372,2,20
4023265,7714371,2,16
7899720,7714339,2,101
7714367,8357882,2,66
7714376,7931319,2,68
7714367,8357883,2,90
7714335,7913270,2,92
4023264,7714371,2,16
7714339,7899796,2,101
7714344,4008251,2,60
7714344,4008250,2,27
7714339,7899797,2,101
7714350,8007391,2,32
7714364,3813011,2,71
7714364,3813010,2,86
7714335,7013438,2,72
7714380,6591502,2,33
7714371,4459235,2,61
7714371,7945932,2,14
4023264,7714372,2,20
7921350,7714332,2,75
7921350,7714333,2,70
7714332,5121350,2,107
7714379,4473170,2,63
7921356,7714344,2,52
7921355,7714342,2,91
7275324,7714379,2,63
7921356,7714345,2,50
7714339,1747,2,205
7714344,8379487,2,27
7932254,7714376,2,68
7714344,8379488,2,60
7714354,8321721,2,35
7714336,7013442,2,60
7714337,2425,2,284
7714365,3813011,2,92
7714371,4677617,2,34
7714351,8007392,2,73
7714351,8007391,2,59
7714371,4677616,2,34
7899693,7714338,2,99
7714333,7899798,2,86
7714372,4036665,2,30
7714338,7013439,2,99
7714335,7899792,2,72
7714333,7913268,2,29
7714355,8321628,2,85
7714355,8321721,2,58
7714344,8007397,2,79
7714344,8007398,2,57
7714361,2414,2,258
7714372,7933308,2,27
7714331,3813500,2,72
7714331,3813501,2,72
7714372,7933307,2,14
7714338,7013442,2,42
7714334,8399900,2,92
7714344,4024523,2,90
7714345,8379488,2,62
7714344,4024524,2,90
7714345,8379487,2,37
7714333,6591498,2,29
7714334,7899793,2,92
7714333,6591499,2,86
7714334,7899792,2,72
7714336,2425,2,201
7714380,2425,2,218
4687322,7714380,2,73
7714372,4459235,2,27
2346,7714345,2,260
7714367,3749709,2,66
7714372,7945932,2,30
2346,7714344,2,256
7714380,7913273,2,40
7714380,8399904,2,23
7899720,7714380,2,47
7714380,8399903,2,23
7714371,7933308,2,61
7714371,7933307,2,32
7714371,4036665,2,14
7714339,7013440,2,106
7921349,7714330,2,23
7921349,7714331,2,64
7714347,8007396,2,21
7714334,7913271,2,92
7714339,7013442,2,63
7714344,3681831,2,75
7714344,3681832,2,47
7714333,8399905,2,86
7714344,3681839,2,47
7714368,8357883,2,47
7714338,6591500,2,99
7714346,8007395,2,21
7714368,8357882,2,40
7714377,7647744,2,51
7714339,2425,2,205
8433,7714344,2,256
7714377,7647745,2,60
8433,7714345,2,260
7714334,8399899,2,72
7899722,7714334,2,92
7714371,7946011,2,14
7714371,7946010,2,14
7714338,7899794,2,99
7714376,7691425,2,68
7714377,7931391,2,53
7714376,7647744,2,105
7714345,4008251,2,62
7714345,4008250,2,37
7714338,5121348,2,99
7714338,7913272,2,99
7714338,7913273,2,83
4687323,7714380,2,47
7714338,8399901,2,99
7714376,7931391,2,31
7714337,1747,2,284
7714374,7946012,2,80
7921351,7714333,2,44
7714372,7946010,2,30
7921351,7714332,2,37
7714372,7946011,2,30
7714345,3681832,2,50
7714368,4473172,2,91
7714345,3681831,2,62
7714366,8357883,2,46
7714334,5121349,2,92
7714349,8007394,2,29
7714360,1736,2,210
7714366,8357882,2,57
7714332,6591499,2,107
7714345,3681839,2,50
7714351,8367302,2,59
7714372,4677616,2,18
7714351,8367303,2,73
7714372,4677617,2,18
7714372,7714277,2,14
7714372,7714278,2,27
7899694,7714339,2,68
7899694,7714338,2,83
7714354,8321689,2,35
7714350,8367302,2,32
7275541,7714371,2,61
7714374,7945933,2,80
7275541,7714372,2,27
7714380,7899797,2,23
7899723,7714332,2,107
7714332,8399905,2,107
7899723,7714333,2,86
7714334,7013438,2,72
7714380,7899796,2,23
7275542,7714372,2,30
7921357,7714344,2,52
7275542,7714371,2,14
7714339,7913273,2,68
7921357,7714345,2,50
7714332,7899798,2,107
7714368,3749709,2,40
7932253,7714376,2,31
7932253,7714377,2,53
7653710,7714374,2,80
7714336,1747,2,201
7714354,8321628,2,60
7714368,3749710,2,47
7714345,4024523,2,88
1738,7714372,2,195
7714355,8321689,2,58
1738,7714371,2,198
7714380,4015757,2,33
7714380,4015756,2,33
7714366,3749709,2,57
7921348,7714330,2,57
7714338,2425,2,206
7714345,8007397,2,70
7714345,8007398,2,54
7714345,4024524,2,88
7714361,1736,2,258
7714360,2414,2,210
7714371,7714277,2,32
7714330,7913267,2,23
7653716,7714373,2,81
7714371,7714278,2,61
7714330,7913266,2,57
7714339,8399903,2,101
7921348,7714331,2,97
7714339,8399904,2,101
7714377,7691426,2,61
7714332,7913269,2,29
7899692,7714335,2,92
7714380,7013440,2,12
7714348,8007393,2,29
7714380,7013441,2,27
7714366,3749710,2,46
