from_stop_id,to_stop_id,transfer_type,min_transfer_time
7647709,7568961,2,33
7647709,7568962,2,56
6640090,7568969,2,36
3731629,7568981,2,50
7921011,7568966,2,139
7568971,6591440,2,52
7568971,6591441,2,138
3731630,7568981,2,51
1891,7568981,2,218
7568959,4009045,2,117
7568967,7985530,2,108
7921008,7568964,2,104
7568967,7985531,2,60
2287,7568981,2,218
6640090,7568971,2,52
7568969,4009042,2,135
7568968,7985529,2,53
7568971,7985605,2,100
7568981,4009048,2,50
5944524,7568981,2,50
8007443,7568981,2,50
7568967,7985529,2,118
6640089,7568969,2,123
7568980,4009047,2,60
7568963,4009095,2,134
7921015,7568979,2,10
6575222,7568971,2,52
7568974,4009096,2,14
7568967,7985522,2,60
7568986,4009095,2,91
5747217,7568981,2,51
7568965,4009097,2,95
6591766,7568971,2,52
5747218,7568981,2,50
7899537,7568961,2,39
7568972,7985524,2,124
7899537,7568962,2,63
7568974,4009045,2,124
7568979,7985533,2,133
7568974,4009044,2,38
7568979,7985532,2,133
7568960,4009044,2,108
7568960,4009045,2,26
6591766,7568969,2,36
6575221,7568971,2,138
6830735,7568971,2,2
7568972,4009098,2,124
7921012,7568977,2,122
7921012,7568978,2,5
6591559,7568969,2,123
7899538,7568962,2,7
5944521,7568979,2,133
7899538,7568961,2,27
7568966,7985604,2,88
6591767,7568969,2,123
7568973,4009043,2,81
7568979,7985521,2,133
6575221,7568969,2,123
7568969,6591440,2,36
7921008,7568973,2,18
6591767,7568971,2,138
7568975,4009096,2,123
7568975,4009095,2,12
7568969,6591441,2,123
7568969,7985528,2,135
6591833,8010712,2,110
6591559,7568971,2,138
7568969,7985524,2,53
6640126,8010712,2,117
7899540,7568973,2,90
7568971,4009098,2,100
5944519,7568968,2,53
5944507,7568979,2,112
5944519,7568966,2,141
5944519,7568967,2,118
7568963,4009044,2,36
6591834,7568969,2,36
7921013,7568977,2,126
7921009,7568965,2,28
7921013,7568978,2,33
7568963,4009045,2,115
7921009,7568964,2,82
4036965,7568981,2,50
6830742,8010712,2,65
7568971,7985524,2,100
7899540,7568965,2,95
7647708,7568961,2,29
7899540,7568964,2,48
4036964,7568981,2,51
6591834,7568971,2,52
8007444,7568981,2,51
7568972,4009043,2,108
7568966,7985523,2,88
8010712,6591536,2,65
7568982,4009093,2,74
8010712,2271,2,254
7899546,7568975,2,100
7568986,4009045,2,125
7568980,4009093,2,68
7568981,4009092,2,51
7568959,4009095,2,84
7921009,7568973,2,24
7899546,7568974,2,38
7921010,7568966,2,99
6591788,8010712,2,65
7568966,7985529,2,141
8010712,1875,2,254
7568982,4009047,2,66
6830735,7568969,2,74
6591560,8010712,2,65
7899547,7568961,2,7
5944520,7568967,2,108
7899546,7568960,2,108
7899547,7568962,2,28
7568960,4009095,2,7
7568960,4009096,2,131
7899545,7568973,2,38
7899539,7568963,2,45
7568969,7985605,2,53
7568964,4009097,2,48
7899539,7568960,2,108
6575222,7568969,2,36
7899546,7568963,2,36
6575276,8010712,2,117
6640089,7568971,2,138
7568975,4009044,2,100
7568975,4009045,2,21
5944508,7568967,2,82
7899545,7568964,2,108
7899545,7568965,2,55
7647708,7568962,2,53
7899539,7568974,2,45
7899539,7568975,2,100
7568965,4009043,2,90
7568972,7985605,2,124
7568969,4009098,2,53
6575223,8010712,2,65
7568973,4009097,2,90
