trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
1030000061075242,07:30:00,07:30:00,2224140,1,,
1030000061075242,08:10:00,08:10:00,4075437,2,,
1030000061075242,08:15:00,08:15:00,2224147,3,,
1030000061075242,08:15:00,08:15:00,2224148,4,,
1030000061075242,08:16:00,08:16:00,2224149,5,,
1030000061075242,08:17:00,08:17:00,2224150,6,,
1030000061075242,08:18:00,08:18:00,2224151,7,,
1030000061075242,08:33:00,08:33:00,2224153,8,,
1030000071075242,07:36:00,07:36:00,2224140,1,,
1030000071075242,08:17:00,08:17:00,4075437,2,,
1030000071075242,08:22:00,08:22:00,2224147,3,,
1030000071075242,08:22:00,08:22:00,2224148,4,,
1030000071075242,08:23:00,08:23:00,2224149,5,,
1030000071075242,08:24:00,08:24:00,2224150,6,,
1030000071075242,08:25:00,08:25:00,2224151,7,,
1030000071075242,08:39:00,08:39:00,2224153,8,,
1030000081075242,07:33:00,07:33:00,2224140,1,,
1030000081075242,08:08:00,08:08:00,4075437,2,,
1030000081075242,08:13:00,08:13:00,2224147,3,,
1030000081075242,08:14:00,08:14:00,2224148,4,,
1030000081075242,08:15:00,08:15:00,2224149,5,,
1030000081075242,08:16:00,08:16:00,2224150,6,,
1030000081075242,08:17:00,08:17:00,2224151,7,,
1030000081075242,08:31:00,08:31:00,2224153,8,,
1030000091075242,07:39:00,07:39:00,2224140,1,,
1030000091075242,08:13:00,08:13:00,4075437,2,,
1030000091075242,08:18:00,08:18:00,2224147,3,,
1030000091075242,08:19:00,08:19:00,2224148,4,,
1030000091075242,08:20:00,08:20:00,2224149,5,,
1030000091075242,08:21:00,08:21:00,2224150,6,,
1030000091075242,08:22:00,08:22:00,2224151,7,,
1030000091075242,08:35:00,08:35:00,2224153,8,,
1130000061075242,07:45:00,07:45:00,2224140,1,,
1130000061075242,08:26:00,08:26:00,4075437,2,,
1130000061075242,08:31:00,08:31:00,2224147,3,,
1130000061075242,08:31:00,08:31:00,2224148,4,,
1130000061075242,08:32:00,08:32:00,2224149,5,,
1130000061075242,08:33:00,08:33:00,2224150,6,,
1130000061075242,08:34:00,08:34:00,2224151,7,,
1130000061075242,08:50:00,08:50:00,2224153,8,,
1130000071075242,07:52:00,07:52:00,2224140,1,,
1130000071075242,08:35:00,08:35:00,4075437,2,,
1130000071075242,08:40:00,08:40:00,2224147,3,,
1130000071075242,08:40:00,08:40:00,2224148,4,,
1130000071075242,08:41:00,08:41:00,2224149,5,,
1130000071075242,08:42:00,08:42:00,2224150,6,,
1130000071075242,08:43:00,08:43:00,2224151,7,,
1130000071075242,08:57:00,08:57:00,2224153,8,,
1130000081075242,07:46:00,07:46:00,2224140,1,,
1130000081075242,08:21:00,08:21:00,4075437,2,,
1130000081075242,08:26:00,08:26:00,2224147,3,,
1130000081075242,08:27:00,08:27:00,2224148,4,,
1130000081075242,08:28:00,08:28:00,2224149,5,,
1130000081075242,08:29:00,08:29:00,2224150,6,,
1130000081075242,08:30:00,08:30:00,2224151,7,,
1130000081075242,08:44:00,08:44:00,2224153,8,,
1130000091075242,07:55:00,07:55:00,2224140,1,,
1130000091075242,08:29:00,08:29:00,4075437,2,,
1130000091075242,08:34:00,08:34:00,2224147,3,,
1130000091075242,08:35:00,08:35:00,2224148,4,,
1130000091075242,08:36:00,08:36:00,2224149,5,,
