from_stop_id,to_stop_id,transfer_type,min_transfer_time
2224141,7946309,2,45
2224141,7946308,2,37
2224141,3893340,2,37
1846,2224141,2,233
8007411,2224141,2,45
2224141,7921091,2,45
8007411,2224140,2,45
1846,2224140,2,233
3672258,4075434,2,22
2224140,2102,2,218
3343768,2224140,2,233
2224141,3893339,2,45
3343768,2224141,2,233
2224153,7899358,2,18
3672257,4075438,2,34
4075434,7899355,2,22
2224141,2102,2,218
2224140,7176291,2,45
3672283,4075434,2,22
2224153,7899357,2,18
2224140,4036658,2,37
3672161,2224153,2,37
3343767,2224140,2,233
3343767,2224141,2,233
2224153,7899316,2,18
2224153,7899317,2,18
2224140,7921091,2,45
2224153,7899264,2,18
4075438,7899217,2,34
2224153,7899263,2,18
2224153,7899215,2,18
2224140,5138167,2,53
3672161,2224154,2,37
2224154,7899358,2,18
7991804,2224140,2,53
2224154,7899357,2,18
7991804,2224141,2,53
2224153,7899214,2,18
2224141,4459242,2,45
2224141,4459243,2,99
3672286,2224153,2,37
3672286,2224154,2,37
3672156,4075438,2,34
2224154,7899264,2,18
2224154,7899263,2,18
2224140,5018223,2,45
4075438,7899319,2,34
2451,2224154,2,279
2224141,7176291,2,45
2224153,3678809,2,63
3672261,2224153,2,37
3672261,2224154,2,37
3672160,2224154,2,37
3672222,4075434,2,22
3672160,2224153,2,37
2224141,7931329,2,45
2451,2224153,2,279
4075434,7899212,2,22
2224140,2053,2,218
3672225,2224154,2,37
3672225,2224153,2,37
4075434,7899390,2,22
2224141,7931381,2,37
2224140,4036752,2,45
3672157,4075434,2,22
2224140,4036753,2,37
2224140,7931381,2,37
1847,2224141,2,233
3672221,4075438,2,34
2224140,4036754,2,99
1847,2224140,2,233
2224153,7899392,2,18
2224140,4459242,2,45
2224140,4459243,2,99
4075434,7899261,2,22
2224141,4036752,2,45
2224154,7899214,2,18
2224141,4036753,2,37
2224154,7899215,2,18
2224141,4036754,2,99
2314,2224140,2,233
2224140,7946309,2,45
2224140,7946308,2,37
2224140,7931330,2,99
2224141,5138167,2,53
2224141,4036658,2,37
2224141,7900221,2,37
2224141,7900220,2,45
2224154,7899392,2,18
2224154,7899316,2,18
2224141,7900222,2,99
2224154,7899317,2,18
2224141,2053,2,218
2224140,3893340,2,37
4146088,2224154,2,37
4146088,2224153,2,37
2224154,3678809,2,63
3672282,4075438,2,34
4075438,7899360,2,34
2224140,3893339,2,45
2224140,7900221,2,37
2224140,7900222,2,99
2224140,7900220,2,45
2224154,3678810,2,45
4146117,2224154,2,37
4146117,2224153,2,37
4075438,7899266,2,34
2313,2224140,2,233
2313,2224141,2,233
2224141,7931330,2,99
2314,2224141,2,233
2224153,3678810,2,45
2224140,7931329,2,45
3672226,2224153,2,37
1706,2224153,2,279
8007412,2224140,2,99
1706,2224154,2,279
3672226,2224154,2,37
8007412,2224141,2,99
2224141,5018223,2,45
