from_stop_id,to_stop_id,transfer_type,min_transfer_time
7069456,7131576,2,123
3442582,7131568,2,92
7069448,7131582,2,90
3442581,7131568,2,87
7131566,4015765,2,33
5121570,7131593,2,17
7131566,4015764,2,18
7131599,2088,2,319
3681803,7131593,2,33
7131568,7913278,2,33
7131568,7913279,2,55
7131581,4015768,2,138
7069457,7131573,2,109
3681820,7131576,2,120
3442578,7131591,2,54
7899699,7131581,2,117
5121341,7131568,2,55
7899718,7131570,2,71
7131586,4015765,2,100
7131586,4015764,2,60
7069439,7131597,2,125
3681824,7131574,2,126
7131568,4015763,2,92
7069444,7131583,2,87
7131568,4015762,2,87
7069455,7131576,2,102
7069454,7131580,2,76
7827022,7131586,2,69
7827022,7131585,2,69
3681844,7131576,2,120
7069458,7131573,2,131
7827021,7131567,2,31
3681850,7131568,2,112
7069454,7131579,2,135
7827021,7131566,2,31
7827022,7131584,2,142
3681810,7131568,2,112
3681821,7131575,2,22
8379493,7131572,2,38
3681848,7131570,2,71
7131568,2280,2,197
7131599,2549,2,319
7827030,7131595,2,63
7131598,2088,2,316
7827022,7131566,2,31
7827022,7131567,2,31
8379494,7131572,2,45
3442583,7131586,2,60
3442583,7131585,2,60
4024531,7131575,2,151
7069442,7131599,2,36
7827086,7131583,2,79
3681849,7131569,2,66
7069443,7131583,2,79
7131598,2549,2,316
7069447,7131582,2,121
2194,7131581,2,319
7131567,4015764,2,18
3442584,7131585,2,100
3442584,7131586,2,100
7827021,7131584,2,142
7827021,7131585,2,69
4024532,7131575,2,122
7827021,7131586,2,69
3681853,7131593,2,36
7827024,7131597,2,83
7827024,7131598,2,72
3681804,7131593,2,36
3442577,7131591,2,67
3681812,7131569,2,66
3681843,7131573,2,131
8379503,7131581,2,126
7899696,7131570,2,45
8379501,7131581,2,44
8379501,7131580,2,139
5121568,7131592,2,76
3442583,7131566,2,18
3442583,7131567,2,18
7827025,7131597,2,125
7069445,7131583,2,25
4024529,7131574,2,126
3681819,7131576,2,78
3681833,7131570,2,71
7069453,7131580,2,118
3442584,7131566,2,33
5121566,7131591,2,88
4024530,7131574,2,108
2005,7131581,2,319
3442584,7131567,2,33
7131568,6591508,2,55
7131568,1884,2,197
7131568,6591507,2,33
8379502,7131581,2,31
3681809,7131568,2,52
7069452,7131580,2,135
7069452,7131581,2,136
5121342,7131568,2,33
7069449,7131581,2,138
7069451,7131581,2,137
7069440,7131597,2,83
7827031,7131595,2,69
3681823,7131574,2,108
7131567,4015765,2,33
3442587,7131581,2,138
7827032,7131593,2,54
7899715,7131581,2,123
7069440,7131598,2,72
8379504,7131581,2,93
7131585,4015765,2,100
3681811,7131587,2,85
7069453,7131579,2,122
7131585,4015764,2,60
