from_stop_id,to_stop_id,transfer_type,min_transfer_time
6830735,6575221,2,136
6830735,6575222,2,49
6830735,6591440,2,49
6830735,6591441,2,136
6830735,7985605,2,98
6830743,6575225,2,63
6830742,8010712,2,65
6830743,6575224,2,9
6591789,6830743,2,9
6830750,6591439,2,138
6591834,6830735,2,49
6591559,6830735,2,136
6591789,6830741,2,72
6830742,1875,2,188
6591765,6830750,2,138
6830742,2271,2,188
6830744,6640095,2,54
6830740,6575225,2,114
3687700,6830750,2,138
6830740,6575227,2,113
6830744,6575227,2,70
3687661,6830734,2,86
6830745,6591432,2,49
6591831,6830747,2,136
6591831,6830748,2,134
6830741,6591537,2,72
6830735,4009098,2,98
6830740,6640093,2,114
6830742,6869547,2,65
6830740,6640094,2,141
6830735,7568969,2,74
6830742,6575276,2,53
6591833,6830742,2,45
6830741,6640092,2,72
6591767,6830735,2,136
6830735,6640090,2,49
6830742,6640126,2,53
6830744,6640094,2,35
6830735,7985524,2,98
6830743,6640092,2,9
6830743,6640093,2,63
6830735,7568971,2,2
6591766,6830735,2,49
6830735,6640089,2,136
6591561,6830741,2,72
3687662,6830734,2,55
6591561,6830743,2,9
6830741,6575224,2,72
6830743,6591537,2,9
6591832,6830743,2,56
6591832,6830741,2,105
6830736,5944518,2,143
