from_stop_id,to_stop_id,transfer_type,min_transfer_time
4009167,7920797,2,101
4009167,7920798,2,86
4009150,8451856,2,45
4009182,8451859,2,52
4009182,8451858,2,28
4009162,7920722,2,99
4009173,7920808,2,18
4009159,5121581,2,64
4009148,5121331,2,50
4009157,8451871,2,32
4009149,7920739,2,27
4009162,8451874,2,117
4009162,7920724,2,72
4009178,7827082,2,126
4009149,5121329,2,27
4009156,5121319,2,52
4009162,7920796,2,72
4009162,7920794,2,99
4009171,8451850,2,45
4009167,8451843,2,86
4009167,8451842,2,101
4009173,7920807,2,5
4009171,8451851,2,42
4009178,3681835,2,126
4009178,3681834,2,75
4009151,7920735,2,92
4009171,7827052,2,45
4009159,4458829,2,64
4009151,8451854,2,92
4009171,7827051,2,42
4009182,7827044,2,28
4009152,8451852,2,16
4009182,7827043,2,28
4009140,7920814,2,50
4009140,7920813,2,31
4009162,4458826,2,99
4009171,7920804,2,132
4009171,7920805,2,4
4009177,7827039,2,135
4009173,5121323,2,5
4009173,5121324,2,18
4009171,5121585,2,4
4009157,5121602,2,32
4009171,5121583,2,129
4009179,7827039,2,34
4009156,5121320,2,52
4009152,7827050,2,16
4009150,7827046,2,45
4009148,7920741,2,50
4009159,7920799,2,63
4009168,5121578,2,44
4009152,5121323,2,16
4009140,7920740,2,50
4009157,7920825,2,32
4009140,8451859,2,50
4009140,8451858,2,31
4009160,4458753,2,143
4009151,7827048,2,92
4009167,4458828,2,101
4009149,7920740,2,7
4009178,3681857,2,126
4009178,3681856,2,75
4009155,7827052,2,61
4009156,8451848,2,52
4009140,7827043,2,31
4009158,5121583,2,48
4009140,7827044,2,31
4009150,5121327,2,45
4009156,7827053,2,52
4009140,7920739,2,31
4009171,7920806,2,42
4009156,7827054,2,52
4009162,8451841,2,72
4009178,7827037,2,75
4009155,5121585,2,45
4009150,7920811,2,45
4009173,7827050,2,5
4009182,7920813,2,28
4009156,5121586,2,52
4009159,4458753,2,64
4009182,7920814,2,52
4473212,4009383,2,36
4473212,4009382,2,29
4009155,7920805,2,45
4473212,7827042,2,54
4009149,8451858,2,27
4009149,8451859,2,7
4009162,8451839,2,99
4009156,8451849,2,52
4009173,7827049,2,18
4009159,7920727,2,63
4009162,7920827,2,117
4009167,7920726,2,86
4009167,7920725,2,101
4009162,7920752,2,117
4009171,7920729,2,129
4009158,7920729,2,48
4009171,7920732,2,42
4009151,5121325,2,92
4009152,7920733,2,16
4009159,8451844,2,70
4009171,7920731,2,4
4009160,4458829,2,143
4009160,8451844,2,141
4009173,7920733,2,5
4009182,7920740,2,52
4009149,5121330,2,7
4009149,7920814,2,7
4009173,8451852,2,5
4009173,8451853,2,18
4009149,7920813,2,27
4009140,5121329,2,31
4009173,7920734,2,18
4009162,4458755,2,117
4009158,7920804,2,44
4009178,5121575,2,75
4009178,5121576,2,81
4009178,5121577,2,62
4009178,5121604,2,126
4009158,7920801,2,42
4009155,5121321,2,61
4009152,7920807,2,16
4009182,5121330,2,52
4009140,5121330,2,50
4009150,7920737,2,45
4009155,8451850,2,61
4009148,7920815,2,50
4009182,7920739,2,28
4009157,7920803,2,60
4009155,7920731,2,45
4009182,5121329,2,28
4009171,5121322,2,42
4009171,5121321,2,45
4009149,7827044,2,27
4009157,8451847,2,60
4009148,8451860,2,50
4009149,7827043,2,27
4009151,7920809,2,92
