service_id,date,exception_type
3048562,20191104,1
3048562,20191105,1
3048562,20191107,1
3048562,20191108,1
3048562,20191112,1
3048562,20191114,1
3048562,20191115,1
3048562,20191118,1
3048562,20191119,1
3048562,20191121,1
3048562,20191122,1
3048562,20191125,1
3048562,20191126,1
3048562,20191128,1
3048562,20191129,1
3048562,20191202,1
3048562,20191203,1
3048562,20191205,1
3048562,20191206,1
3048562,20191209,1
3048562,20191210,1
3048562,20191212,1
3048562,20191213,1
3048562,20191216,1
3048562,20191217,1
3048562,20191219,1
3048562,20191220,1
3048564,20191106,1
3048564,20191113,1
3048564,20191120,1
3048564,20191127,1
3048564,20191204,1
3048564,20191211,1
3048564,20191218,1
3048563,20191104,1
3048563,20191105,1
3048563,20191107,1
3048563,20191108,1
3048563,20191112,1
3048563,20191114,1
3048563,20191115,1
3048563,20191118,1
3048563,20191119,1
3048563,20191121,1
3048563,20191122,1
3048563,20191125,1
3048563,20191126,1
3048563,20191128,1
3048563,20191129,1
3048563,20191202,1
3048563,20191203,1
3048563,20191205,1
3048563,20191206,1
3048563,20191209,1
3048563,20191210,1
3048563,20191212,1
3048563,20191213,1
3048563,20191216,1
3048563,20191217,1
3048563,20191219,1
3048563,20191220,1
3000249,20191029,1
3000249,20191030,1
3000249,20191031,1
3000249,20191223,1
3000249,20191224,1
3000249,20191226,1
3000249,20191227,1
3000249,20191230,1
3000249,20191231,1
3048565,20191102,1
3048565,20191109,1
3048565,20191116,1
3048565,20191123,1
3048565,20191130,1
3048565,20191207,1
3048565,20191214,1
3048565,20191221,1
3048565,20191228,1
