trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
130485621408157,07:50:00,07:50:00,5821500,1,,
130485621408157,07:51:00,07:51:00,5821501,2,,
130485621408157,07:53:00,07:53:00,5821502,3,,
130485621408157,07:57:00,07:57:00,5821503,4,,
130485621408157,07:58:00,07:58:00,5821504,5,,
130485621408157,08:00:00,08:00:00,5821505,6,,
230485621408157,08:50:00,08:50:00,5821500,1,,
230485621408157,08:51:00,08:51:00,5821501,2,,
230485621408157,08:53:00,08:53:00,5821502,3,,
230485621408157,08:57:00,08:57:00,5821503,4,,
230485621408157,08:58:00,08:58:00,5821504,5,,
230485621408157,09:00:00,09:00:00,5821505,6,,
1030002490939968,13:20:00,13:20:00,4016090,1,,
1030002490939968,13:22:00,13:22:00,4016092,2,,
1030002490939968,13:24:00,13:24:00,4016093,3,,
1030002490939968,13:25:00,13:25:00,4016094,4,,
1030002490939968,13:27:00,13:27:00,4016095,5,,
1030002490939968,13:28:00,13:28:00,4016096,6,,
1030002490939968,13:29:00,13:29:00,4016097,7,,
1030002490939968,13:30:00,13:30:00,4016098,8,,
1030002490939968,13:32:00,13:32:00,4016099,9,,
1030002490939968,13:33:00,13:33:00,4016100,10,,
1030002490939968,13:34:00,13:34:00,4016101,11,,
1030002490939968,13:36:00,13:36:00,5794239,12,,
1030002490939968,13:37:00,13:37:00,4016105,13,,
1030002490939968,13:38:00,13:38:00,4016106,14,,
1030002490939968,13:42:00,13:42:00,4016107,15,,
1030002490939968,13:47:00,13:47:00,4016108,16,,
1030002490939968,13:49:00,13:49:00,4016110,17,,
1030002490939968,13:55:00,13:55:00,4016112,18,,
1030485630939968,13:20:00,13:20:00,4016090,1,,
1030485630939968,13:22:00,13:22:00,4016092,2,,
1030485630939968,13:24:00,13:24:00,4016093,3,,
1030485630939968,13:25:00,13:25:00,4016094,4,,
1030485630939968,13:27:00,13:27:00,4016095,5,,
1030485630939968,13:28:00,13:28:00,4016096,6,,
1030485630939968,13:29:00,13:29:00,4016097,7,,
1030485630939968,13:30:00,13:30:00,4016098,8,,
1030485630939968,13:32:00,13:32:00,4016099,9,,
1030485630939968,13:33:00,13:33:00,4016100,10,,
1030485630939968,13:34:00,13:34:00,4016101,11,,
1030485630939968,13:36:00,13:36:00,5794239,12,,
1030485630939968,13:37:00,13:37:00,4016105,13,,
1030485630939968,13:38:00,13:38:00,4016106,14,,
1030485630939968,13:42:00,13:42:00,4016107,15,,
1030485630939968,13:47:00,13:47:00,4016108,16,,
1030485630939968,13:49:00,13:49:00,4016110,17,,
1030485630939968,13:55:00,13:55:00,4016112,18,,
1030485640939968,13:20:00,13:20:00,4016090,1,,
1030485640939968,13:22:00,13:22:00,4016092,2,,
1030485640939968,13:24:00,13:24:00,4016093,3,,
1030485640939968,13:25:00,13:25:00,4016094,4,,
1030485640939968,13:27:00,13:27:00,4016095,5,,
1030485640939968,13:28:00,13:28:00,4016096,6,,
1030485640939968,13:29:00,13:29:00,4016097,7,,
1030485640939968,13:30:00,13:30:00,4016098,8,,
1030485640939968,13:32:00,13:32:00,4016099,9,,
1030485640939968,13:33:00,13:33:00,4016100,10,,
1030485640939968,13:34:00,13:34:00,4016101,11,,
1030485640939968,13:36:00,13:36:00,5794239,12,,
