from_stop_id,to_stop_id,transfer_type,min_transfer_time
5821501,4017031,2,125
4016093,5158086,2,72
7946060,4016112,2,25
4016127,5121466,2,132
4016113,1872,2,221
4016036,4016106,2,71
7946060,4016113,2,25
4016126,4016771,2,117
4016126,4016772,2,126
4016105,7900026,2,133
4016091,5158087,2,143
4016105,7900025,2,133
4016090,4036728,2,13
4016091,4036833,2,143
4016112,5158060,2,25
4016122,4017030,2,72
4016113,5158087,2,130
4016122,4017031,2,116
4016087,4016114,2,105
4677627,4016125,2,126
4016091,1872,2,224
7946115,4016090,2,143
7946115,4016091,2,143
4016025,4016112,2,130
4016027,4016108,2,58
4016027,4016109,2,58
4016025,4016113,2,130
4016112,7691418,2,130
4016112,4036728,2,25
4016114,4472758,2,112
4016100,7176285,2,89
4016112,1872,2,221
4016099,7900019,2,119
4016095,4036730,2,118
4016106,7691415,2,25
4016106,7691414,2,71
4016112,4036833,2,130
4016107,7691434,2,115
4016115,4016773,2,10
7946059,4016093,2,72
4016038,4016092,2,126
4016099,7900020,2,70
5821503,4016771,2,117
5821503,4016772,2,126
7946124,4016095,2,118
5081727,4016099,2,68
7932257,5821502,2,131
4016113,5158060,2,25
4016123,7691422,2,47
4016094,4036729,2,17
4016095,4472778,2,94
4016096,7900013,2,107
4016033,4016105,2,144
4016096,7900014,2,85
4016093,4036832,2,72
4016096,7900016,2,136
4016112,4017047,2,40
4016114,5158059,2,112
4016108,4472756,2,58
4016108,4472757,2,129
7946114,4016114,2,112
4016090,4036833,2,143
4016095,4472761,2,118
4016092,7691416,2,126
4016107,4472757,2,109
4016095,5158085,2,94
4016097,7900018,2,133
4016096,4758995,2,85
4016113,4036728,2,25
4016096,4758994,2,136
4016091,4017047,2,46
4016128,4016775,2,81
4016113,4036833,2,130
4016107,5158058,2,109
4016091,4472780,2,143
7946116,4016108,2,129
5081721,4016096,2,107
7946116,4016109,2,129
7946116,4016107,2,109
4016112,4472759,2,25
7946117,4016109,2,58
7946117,4016108,2,58
4016090,4472759,2,13
4016091,5158060,2,13
5821504,5121466,2,132
4016100,4758993,2,89
4016112,5158087,2,130
4016108,5158058,2,129
4016108,5158057,2,58
4016095,7900014,2,133
4016088,4016114,2,112
4016113,4016780,2,40
4016093,4017046,2,72
4016090,4016780,2,46
4016094,4472760,2,17
4016090,2268,2,224
4016090,4472780,2,143
5821502,4017033,2,47
4016030,4016114,2,105
5821501,4017030,2,81
4016025,4016091,2,143
4016025,4016090,2,143
4016090,7691418,2,143
7932257,4016123,2,131
7946115,4016112,2,130
7946115,4016113,2,130
4016094,5158061,2,17
4016114,4036727,2,112
4016100,4016786,2,64
4016114,4016778,2,105
7946061,4016091,2,143
4016112,2268,2,221
4016100,4016789,2,127
4016109,5158057,2,58
7946061,4016090,2,143
4016109,5158058,2,129
4016094,4017029,2,17
5821502,7691422,2,47
4016114,5250729,2,112
4016098,4758937,2,73
4016125,4016771,2,16
4016037,4016106,2,25
7946112,4016093,2,72
4016113,2268,2,221
4016113,4472759,2,25
4016105,7691413,2,32
4016108,4036725,2,58
4016042,4016108,2,58
4016096,5158085,2,13
4016108,4036726,2,129
4016042,4016109,2,58
4016089,4016107,2,115
4016113,7691418,2,130
7946062,4016107,2,109
5081726,4016097,2,133
5081726,4016098,2,73
4016094,7691420,2,84
4016090,5158087,2,143
4016095,5158062,2,118
7946062,4016108,2,129
7946062,4016109,2,129
7946113,4016090,2,13
4016099,4017023,2,119
4016108,4016791,2,131
4016095,4758995,2,133
4016026,4016108,2,129
4677628,4016126,2,27
4016026,4016107,2,109
4016112,4472780,2,130
4016026,4016109,2,129
4016090,1872,2,224
4016094,7691419,2,17
4016113,4472780,2,130
4016092,4017025,2,82
4016091,2268,2,224
5081728,4016099,2,70
4016108,4016777,2,58
4016100,4017021,2,64
4016100,4017020,2,127
5081725,4016098,2,92
7946111,4016096,2,13
7946111,4016095,2,94
7946113,4016091,2,13
4016040,4016091,2,143
4016119,4017031,2,125
4016119,4017030,2,81
4016040,4016090,2,143
4016092,4016782,2,82
4016032,4016107,2,115
5821502,4016768,2,118
4016091,4472759,2,13
4016120,4017031,2,122
5821502,4016767,2,105
4016023,4016092,2,126
4016120,4017030,2,128
5081722,4016095,2,133
4016094,5419726,2,84
5081722,4016096,2,85
4016041,4016109,2,129
4016040,4016113,2,130
4016041,4016108,2,129
4016040,4016112,2,130
4016100,4758939,2,111
4016109,4016791,2,131
4016041,4016107,2,109
7946113,4016112,2,25
7946113,4016113,2,25
4016090,4017047,2,46
4016127,6449029,2,132
7946122,4016114,2,105
4016090,5158060,2,13
4016112,4016780,2,40
7946060,4016091,2,13
7946060,4016090,2,13
5821504,6449029,2,132
4016113,4017047,2,40
4016096,4036831,2,13
4016106,7900024,2,71
5081724,4016096,2,136
4016091,7691418,2,143
4016106,7900023,2,25
4016095,4036831,2,94
4016031,4016114,2,112
4677630,5821504,2,19
4016098,7900017,2,92
4016099,4016784,2,119
4016107,4036726,2,109
4016098,7900018,2,73
4016091,4036728,2,13
4016123,4017033,2,47
4677628,5821503,2,27
4016092,7900021,2,82
4016034,4016105,2,144
4677630,4016127,2,19
4016109,4036726,2,129
4016109,4036725,2,58
4016123,4016768,2,118
4016123,4016767,2,105
4016093,4472779,2,72
4016100,7691403,2,127
4016100,7691404,2,53
4016097,4758937,2,133
7946058,4016095,2,94
4016109,4472757,2,129
7946058,4016096,2,13
4016109,4472756,2,58
4016091,4016780,2,46
4016109,4016777,2,58
4016096,4472778,2,13
4016114,5250730,2,112
7946061,4016112,2,130
7946061,4016113,2,130
7946123,4016094,2,17
