service_id,date,exception_type
2779854,20191122,1
2779854,20191125,1
2779854,20191126,1
2779854,20191127,1
2779854,20191128,1
2779854,20191129,1
2779854,20191202,1
2779854,20191203,1
2779854,20191204,1
2779854,20191205,1
2779854,20191206,1
2779854,20191209,1
2779854,20191210,1
2779854,20191211,1
2779854,20191212,1
2779854,20191213,1
2779854,20191216,1
2779854,20191217,1
2779854,20191218,1
2779854,20191219,1
2779854,20191220,1
2779854,20191223,1
2779854,20191224,1
2779854,20191226,1
2779854,20191227,1
2779854,20191230,1
2779854,20191231,1
2779855,20191123,1
2779855,20191130,1
2779855,20191207,1
2779855,20191214,1
2779855,20191221,1
2779855,20191228,1
2779856,20191122,1
2779856,20191125,1
2779856,20191126,1
2779856,20191127,1
2779856,20191128,1
2779856,20191129,1
2779856,20191202,1
2779856,20191203,1
2779856,20191204,1
2779856,20191205,1
2779856,20191206,1
2779856,20191209,1
2779856,20191210,1
2779856,20191211,1
2779856,20191212,1
2779856,20191213,1
2779856,20191216,1
2779856,20191217,1
2779856,20191218,1
2779856,20191219,1
2779856,20191220,1
2779856,20191223,1
2779856,20191224,1
2779856,20191226,1
2779856,20191227,1
2779856,20191230,1
2779856,20191231,1
2779851,20191122,1
2779851,20191125,1
2779851,20191126,1
2779851,20191127,1
2779851,20191128,1
2779851,20191129,1
2779851,20191202,1
2779851,20191203,1
2779851,20191204,1
2779851,20191205,1
2779851,20191206,1
2779851,20191209,1
2779851,20191210,1
2779851,20191211,1
2779851,20191212,1
2779851,20191213,1
2779851,20191216,1
2779851,20191217,1
2779851,20191218,1
2779851,20191219,1
2779851,20191220,1
2779851,20191223,1
2779851,20191224,1
2779851,20191226,1
2779851,20191227,1
2779851,20191230,1
2779851,20191231,1
2779852,20191123,1
2779852,20191130,1
2779852,20191207,1
2779852,20191214,1
2779852,20191221,1
2779852,20191228,1
2779849,20191123,1
2779849,20191130,1
2779849,20191207,1
2779849,20191214,1
2779849,20191221,1
2779849,20191228,1
2779848,20191122,1
2779848,20191125,1
2779848,20191126,1
2779848,20191127,1
2779848,20191128,1
2779848,20191129,1
2779848,20191202,1
2779848,20191203,1
2779848,20191204,1
2779848,20191205,1
2779848,20191206,1
2779848,20191209,1
2779848,20191210,1
2779848,20191211,1
2779848,20191212,1
2779848,20191213,1
2779848,20191216,1
2779848,20191217,1
2779848,20191218,1
2779848,20191219,1
2779848,20191220,1
2779848,20191223,1
2779848,20191224,1
2779848,20191226,1
2779848,20191227,1
2779848,20191230,1
2779848,20191231,1
