from_stop_id,to_stop_id,transfer_type,min_transfer_time
6408760,4037024,2,94
4009231,4473009,2,96
4009231,4473008,2,96
7312134,6408764,2,30
4009232,8451877,2,143
6408762,5091945,2,72
4009233,8451815,2,131
6408762,5091946,2,121
6408760,1870,2,207
4009222,7920830,2,108
4009233,8451814,2,108
6408776,5091945,2,100
4009232,7275649,2,143
4009234,4473014,2,108
6408761,1870,2,258
6408760,4037025,2,94
4009231,5091946,2,21
4009241,7920755,2,14
4009231,5091945,2,93
6408767,6682604,2,108
4009232,7920756,2,143
6408763,7920755,2,96
4687334,4009232,2,48
4009240,2337,2,269
4009231,1870,2,218
4009233,8451816,2,143
6408777,7920773,2,35
5067573,4009239,2,115
4009272,7920773,2,24
5067573,4009238,2,36
6408762,7920830,2,121
7312134,6408748,2,30
4009270,3681861,2,108
6408777,6682606,2,27
6408746,8451818,2,108
4009241,7920830,2,14
4009233,4473042,2,108
6408777,6682607,2,34
6408746,8451817,2,35
4009230,1870,2,290
4009262,5121571,2,54
6408776,3681789,2,117
6408776,3681788,2,94
4009262,5121572,2,71
4009272,2337,2,258
7312130,4009232,2,121
6408748,5091947,2,91
4009241,7920773,2,122
4009241,2337,2,216
4009222,7920701,2,35
4687335,4009232,2,86
4009241,4473008,2,94
6408768,5091953,2,68
6408747,7920755,2,96
4009272,3681864,2,53
4009241,4473009,2,94
6408768,5091952,2,49
6408761,4037025,2,68
6408768,7920715,2,49
6408765,5091978,2,90
4009241,5091945,2,95
6408761,4037024,2,68
6408768,7920716,2,68
6408765,5091977,2,11
4009241,5091946,2,14
7080560,4009387,2,65
7080560,4009386,2,54
4009232,7275679,2,100
4009231,3681788,2,96
4009231,3681789,2,98
6408758,5091977,2,7
6408758,5091978,2,104
6408776,7920773,2,133
6408762,7920755,2,121
4009231,4037025,2,96
4009222,5091945,2,16
4009222,5091946,2,108
6408762,6682606,2,114
6408762,6682607,2,56
5067576,4009227,2,139
7920933,4009232,2,141
6408769,7920782,2,29
4009261,7827036,2,135
4009272,7920830,2,114
7312134,4009230,2,132
7920933,4009233,2,88
6408767,7920786,2,65
6408767,7920785,2,64
4009231,4037024,2,96
4009222,8451818,2,108
4009222,8451817,2,35
6408747,7920830,2,96
4009270,3681792,2,108
4009233,4473010,2,143
4009233,4473011,2,131
7312132,4009223,2,112
7312132,4009222,2,16
4009231,7920773,2,117
4009266,7827033,2,63
4009266,7827034,2,127
4009266,7827035,2,96
6408765,5091947,2,142
4009231,7920830,2,21
4009266,7827036,2,133
7312133,4009272,2,114
4009231,6682607,2,90
6408777,2337,2,250
6408777,1870,2,250
6408747,7920703,2,67
7312132,4009231,2,93
7312132,4009240,2,72
7312132,4009241,2,95
4009255,4037025,2,57
4009255,4037024,2,57
4009233,7275680,2,74
6408762,7920773,2,121
4009240,3681788,2,36
6408746,7920830,2,108
4009234,4037028,2,108
6408776,1870,2,207
6408746,7920701,2,35
6408746,1870,2,250
4009231,7920755,2,21
6408762,8451817,2,121
4009241,3681788,2,94
6408762,8451818,2,121
4009241,3681789,2,104
6408763,7920775,2,67
7312131,4009232,2,118
6408752,5091952,2,49
4009272,7920755,2,114
4009232,7920771,2,28
6408752,5091953,2,68
4009232,7920770,2,100
4009233,7275679,2,108
4009231,6682606,2,89
6408770,7920782,2,130
6408770,7920781,2,137
6408763,1870,2,262
4009233,7920771,2,131
4009233,7920772,2,143
6408773,5091948,2,16
6408777,3681864,2,61
4009258,3681861,2,135
6408773,5091949,2,6
6408760,6682607,2,93
6408776,4037024,2,94
4009233,7920770,2,108
6408776,4037025,2,94
6408751,5091950,2,64
6408751,5091951,2,65
6408763,5091946,2,96
6408769,8451827,2,29
4009223,1870,2,218
7312132,4009255,2,16
6408764,7920774,2,30
6408764,7920775,2,86
4009241,6682607,2,90
4009241,6682606,2,93
6408747,8451818,2,96
6408761,4473008,2,68
4009255,3681789,2,61
6408761,4473009,2,68
4009255,3681788,2,57
4009223,3681788,2,81
7312133,6408747,2,96
6408767,5091951,2,65
6408761,7920755,2,114
6408767,5091950,2,64
7312133,6408746,2,108
7312132,4009272,2,27
6408752,7920787,2,49
6408752,7920788,2,68
7069428,4009268,2,127
4009257,3681862,2,117
6408760,6682606,2,104
7069428,4009260,2,103
6408774,5091947,2,141
4009223,5091946,2,65
4009266,3681854,2,63
4009266,3681855,2,96
6408754,8451827,2,130
6408754,8451826,2,137
4009223,5091945,2,112
4009272,7920701,2,24
6408759,5091977,2,100
6408747,2337,2,262
7312132,6408760,2,100
7312132,6408761,2,27
7312132,6408762,2,72
4009262,7827033,2,54
4009262,7827034,2,71
6408751,6682604,2,108
6408777,7920701,2,35
6408776,7920701,2,133
4009222,6682606,2,27
6408746,3681789,2,61
4009222,6682607,2,34
4009272,6682607,2,45
6408746,3681788,2,57
4009272,6682606,2,21
4009255,7920830,2,108
6408774,5091977,2,7
6408774,5091978,2,104
6408753,7920710,2,29
4009238,2176,2,198
4009255,7920701,2,35
7312133,6408762,2,121
7312133,6408761,2,114
4009241,7920701,2,122
7312133,6408763,2,96
7312132,6408777,2,16
5067578,4009228,2,19
7312132,6408776,2,100
6408767,8451831,2,65
6408761,7920773,2,24
4009261,3681799,2,135
6408747,8451820,2,67
6408767,8451830,2,64
6408776,8451817,2,133
6408746,2337,2,250
7080560,3681792,2,126
7312133,6408777,2,108
6408746,3681864,2,61
6408761,7920701,2,24
4009232,7275680,2,75
4009231,8451817,2,117
7312132,6408746,2,16
4009231,8451818,2,21
6408776,6682606,2,104
6408776,6682607,2,93
4009234,7920758,2,108
7069430,4009261,2,135
6408750,5091949,2,18
6408748,8451819,2,30
6408763,7920703,2,67
4009240,4473009,2,36
4009271,3681790,2,79
4009231,3681864,2,98
4009240,4473008,2,36
6408767,7920713,2,64
7069430,4009266,2,133
6408769,7920710,2,29
6408753,8451827,2,29
4009233,7920700,2,143
4009231,2337,2,218
6408767,7920714,2,65
6408747,7920775,2,67
6408761,8451818,2,114
6408748,8451820,2,86
6408761,8451817,2,24
4009232,5091943,2,121
6408777,3681789,2,61
4009232,5091944,2,118
6408777,3681788,2,57
6408752,7920715,2,49
6408758,5091947,2,141
6408746,6682606,2,27
6408752,7920716,2,68
6408746,6682607,2,34
4009258,3681792,2,135
4009232,4037026,2,143
4009255,3681864,2,61
6408761,7920830,2,114
5067575,4009227,2,119
4009239,1986,2,321
4009234,7920833,2,108
4009232,7920831,2,143
4009232,4037021,2,100
4009232,4037022,2,28
6408777,7920755,2,108
4009240,7920830,2,121
6408760,2337,2,207
6408754,7920710,2,130
6408760,4473009,2,94
4009262,3681801,2,71
4009262,3681802,2,54
6408760,4473008,2,94
4009238,7275647,2,29
6408763,7920830,2,96
4009238,7275648,2,36
6408764,7920702,2,30
6408764,7920703,2,86
7080560,3681861,2,126
7069427,4009261,2,135
6408762,7920701,2,121
4009239,2176,2,321
4009230,7920703,2,35
4009232,3442569,2,86
6408762,4037024,2,36
4009230,7920702,2,132
6408762,4037025,2,36
4009223,7920775,2,116
6408762,3681788,2,36
4009232,3442570,2,48
6408760,7920701,2,133
6408746,5091945,2,16
6408746,5091946,2,108
4009230,7920830,2,132
4009272,5091946,2,114
4009238,3442567,2,29
4009238,3442568,2,36
6408751,7920713,2,64
6408751,7920714,2,65
4009272,5091945,2,27
6408754,7920709,2,137
4009255,4473009,2,57
6408746,4037024,2,57
6408746,4037025,2,57
4009240,7920701,2,121
4009255,4473008,2,57
4009267,4009384,2,127
4009223,4473009,2,81
4009267,4009385,2,136
4009223,4473008,2,81
6408776,4473009,2,94
4009230,2337,2,290
7920935,4009232,2,143
6408776,4473008,2,94
6408753,7920782,2,29
6408760,5091945,2,100
4009239,7275648,2,115
4009255,8451818,2,108
4009240,7920773,2,121
4009255,8451817,2,35
6408764,8451819,2,30
5067574,4009238,2,29
4009240,1870,2,269
4009223,8451818,2,65
6408749,5091947,2,142
7069431,4009266,2,127
7069431,4009262,2,71
4009230,7920755,2,132
4687336,4009239,2,115
6408764,8451820,2,86
4009255,5091946,2,108
4009255,5091945,2,16
4687336,4009238,2,36
6408768,8451833,2,68
6408768,8451832,2,49
6408776,2337,2,207
4009223,8451820,2,116
6408761,3681864,2,53
4009266,3681800,2,96
4687337,4009238,2,29
4009240,8451817,2,121
4009256,6682605,2,116
4009240,8451818,2,121
4009222,3681788,2,57
4009222,3681789,2,61
4009266,3681802,2,63
4009256,6682608,2,75
4009266,3681801,2,127
6408777,4473008,2,57
6408777,4473009,2,57
4009255,7920773,2,35
4009262,3681854,2,54
4009240,7920755,2,121
4009222,3681864,2,61
4009266,3681799,2,133
4009257,3681837,2,117
4009230,7920774,2,132
4009230,7920775,2,35
6408757,5091948,2,16
6408746,4473008,2,57
6408746,4473009,2,57
4009255,7920755,2,108
4009223,6682607,2,96
4009223,6682606,2,137
6408757,5091949,2,6
4009272,1870,2,258
4009223,7920755,2,65
4009240,6682607,2,56
4009240,6682606,2,114
7312135,6408763,2,67
7312135,6408764,2,86
4009222,4473008,2,57
4009222,4473009,2,57
4009256,3681790,2,87
4009258,4009387,2,56
6408764,5091978,2,117
4009233,4037021,2,108
4009233,4037022,2,131
4009233,4037023,2,143
4009223,7920703,2,116
6408760,3681864,2,117
4009255,1870,2,250
6408761,6682607,2,45
6408761,6682606,2,21
4009223,7920830,2,65
6408768,7920787,2,49
4009271,6682608,2,113
6408768,7920788,2,68
6408775,5091977,2,100
6408763,8451820,2,67
4009232,4473042,2,100
4009261,5121574,2,135
6408763,8451818,2,96
6408764,5091977,2,131
7312135,6408748,2,86
7312135,6408747,2,67
4009233,7920699,2,131
4009233,7920698,2,108
4009241,8451818,2,14
4009241,8451817,2,122
6408777,7920830,2,108
4009272,4473008,2,68
4009272,4473009,2,68
6408766,5091949,2,18
4009255,2337,2,250
4009241,3681864,2,104
4009232,7920698,2,100
4009232,7920699,2,28
6408760,8451817,2,133
6408754,7920782,2,130
6408754,7920781,2,137
7312135,4009223,2,116
6408747,5091946,2,96
4009222,7920773,2,35
6408776,3681864,2,117
6408764,5091947,2,91
6408751,7920786,2,65
6408751,7920785,2,64
6408748,7920703,2,86
6408747,1870,2,262
7069432,4009266,2,63
6408761,5091946,2,114
6408748,7920702,2,30
4009223,2337,2,218
7069432,4009262,2,54
6408761,5091945,2,27
6408777,5091946,2,108
6408777,5091945,2,16
6408749,5091978,2,90
6408749,5091977,2,11
6408760,7920773,2,133
7312135,4009230,2,35
4009240,5091945,2,72
4009240,5091946,2,121
4009223,4037024,2,81
4009223,4037025,2,81
4009232,8451815,2,28
6408748,5091978,2,117
4009241,1870,2,216
6408748,5091977,2,131
4009272,3681788,2,68
4009272,3681789,2,53
4009222,4037025,2,57
4009222,4037024,2,57
4009232,4473011,2,28
4009232,4473012,2,143
7312133,4009255,2,108
4009266,5121574,2,133
4009222,1870,2,250
4009266,5121572,2,127
4009266,5121573,2,96
4009230,8451818,2,132
6408770,8451827,2,130
4009222,2337,2,250
4009230,8451819,2,132
6408770,8451826,2,137
6408762,1870,2,269
4009239,3442568,2,115
4009230,8451820,2,35
6408763,2337,2,262
6408770,7920710,2,130
4009261,4009384,2,84
4009240,4037024,2,36
4009261,4009385,2,90
6408761,2337,2,258
4009222,7920755,2,108
4009240,4037025,2,36
7069429,4009261,2,98
6408746,7920755,2,108
4009266,5121571,2,63
4009231,7920701,2,117
6408777,8451818,2,108
4009238,1986,2,144
6408777,8451817,2,35
7312133,4009223,2,65
7312133,4009222,2,108
4009272,8451818,2,114
6408777,4037025,2,57
4009272,8451817,2,24
4009234,7275651,2,108
6408777,4037024,2,57
6408762,4473009,2,36
6408748,7920774,2,30
6408760,3681788,2,94
7312133,4009230,2,132
6408770,7920709,2,137
6408760,3681789,2,117
7312133,4009231,2,21
6408762,4473008,2,36
6408748,7920775,2,86
6408761,3681789,2,53
6408751,8451830,2,64
4009272,4037025,2,68
6408751,8451831,2,65
4009272,4037024,2,68
6408752,8451833,2,68
6408752,8451832,2,49
4009255,6682606,2,27
6408762,2337,2,269
4009255,6682607,2,34
6408761,3681788,2,68
4009241,4037024,2,94
4009232,8451814,2,100
4009241,4037025,2,94
4009230,5091946,2,132
7920937,4009234,2,108
6408746,7920773,2,35
7312133,4009240,2,121
7312133,4009241,2,14
7920934,4009232,2,100
7920934,4009233,2,108
