from_stop_id,to_stop_id,transfer_type,min_transfer_time
7946465,3730055,2,83
7946465,3730056,2,59
4377773,3730064,2,25
5478266,3730100,2,139
3663610,3730102,2,43
3687044,3730098,2,76
3663610,3730101,2,100
7946513,3730058,2,123
7946513,3730057,2,110
3730058,4390968,2,117
3687044,3730097,2,14
7275768,3730101,2,81
3730058,4390969,2,141
7275768,3730102,2,136
5675663,3730096,2,62
8451995,3730060,2,51
3730058,4834591,2,141
3730058,4834590,2,117
3730061,4834603,2,83
3730366,3730045,2,136
3730366,3730046,2,124
3663699,3730100,2,14
7376137,3730043,2,104
7376136,3730043,2,68
7376136,3730044,2,124
3764101,3730043,2,104
3730047,6446115,2,130
4377771,3730066,2,29
4377993,3730051,2,134
3663624,3730099,2,31
3730064,4834614,2,72
3620233,3730069,2,38
7275573,3730053,2,28
4614395,3730101,2,58
4471777,3730065,2,29
3686997,3730096,2,110
8451995,3730059,2,67
3730104,3686438,2,66
4377774,3730061,2,83
4614395,3730102,2,14
3730104,7170692,2,36
7275704,3730078,2,49
4723849,3730100,2,51
3686557,3730096,2,62
3686557,3730095,2,78
3620233,3730070,2,7
4314840,3730063,2,116
4314840,3730064,2,138
8451996,3730059,2,28
5121048,3730042,2,131
3730104,3686425,2,66
3730057,4834591,2,134
3730057,4834590,2,139
7275689,3730063,2,25
5478436,3730099,2,68
3620245,3730080,2,32
7275686,3730062,2,83
3663622,3730102,2,136
7275388,3730043,2,68
7275388,3730044,2,124
3620238,3730104,2,66
3663622,3730101,2,81
7305040,7305044,2,37
7275697,3730071,2,95
3619814,3730095,2,78
4378376,3730104,2,74
3730073,4909848,2,98
3730073,4909849,2,109
7275695,3730069,2,40
3619814,3730096,2,62
7305043,7305041,2,37
4377975,3730045,2,50
4377975,3730046,2,93
4677704,3730076,2,53
3730046,4124807,2,107
4677704,3730077,2,37
4614394,3730102,2,14
4614394,3730101,2,58
3687035,3730097,2,90
3730061,4390975,2,123
5478432,3730102,2,119
4377992,3730052,2,114
5478432,3730101,2,62
4377992,3730051,2,93
5675620,3730095,2,80
5675620,3730096,2,93
3730104,3686349,2,66
5478265,3730099,2,68
8452242,3730059,2,28
7275569,3730057,2,22
3764095,3730043,2,68
3764095,3730044,2,124
7275685,3730059,2,28
4471759,3730077,2,37
4471759,3730076,2,53
3619815,3730096,2,93
7275585,3730043,2,118
3619815,3730095,2,80
7275585,3730044,2,90
1912,3730042,2,204
3730074,4909849,2,56
3730074,4909848,2,80
7275688,3730064,2,25
1912,3730041,2,221
7946512,3730058,2,137
7275694,3730070,2,40
7275705,3730081,2,32
4377772,3730063,2,25
3730063,4834602,2,25
4377768,3730067,2,19
7170693,3730075,2,66
7946512,3730057,2,131
4377733,3730052,2,116
4377733,3730051,2,112
3730063,4834614,2,98
5673022,3730077,2,77
3730075,7170692,2,71
4723846,3730102,2,70
4723846,3730101,2,20
5673022,3730076,2,87
5675663,3730095,2,78
3730104,3686466,2,66
3730064,3686429,2,72
7275577,3730049,2,54
7275581,3730045,2,67
3620241,3730076,2,33
4723851,3730099,2,17
4314843,3730064,2,25
5478436,3730100,2,51
3687045,3730100,2,85
3730063,4834666,2,25
4677775,3730077,2,77
4677775,3730076,2,87
3730077,3686347,2,33
4377718,3730043,2,104
5478433,3730101,2,20
4677705,3730076,2,87
5478433,3730102,2,70
4677705,3730077,2,77
3663697,3730102,2,136
3663697,3730101,2,81
3730078,3686344,2,49
7275706,3730080,2,32
7275572,3730056,2,46
4423358,3730048,2,76
7275718,3730091,2,33
3619873,3730092,2,53
4423358,3730047,2,107
7275717,3730092,2,33
3619873,3730091,2,28
7275584,3730044,2,67
3730063,4834671,2,98
4378044,3730052,2,101
7275684,3730060,2,28
5478263,3730101,2,62
5478263,3730102,2,119
4378044,3730051,2,71
3730372,3730047,2,107
3730079,3686420,2,49
7275687,3730061,2,83
3620243,3730078,2,49
3730372,3730048,2,76
8452239,3730061,2,83
8452238,3730063,2,25
7275726,3730099,2,41
3730060,5397305,2,79
3730060,4378081,2,51
3730063,3686370,2,98
3730060,4378080,2,51
4471797,3730068,2,19
3730077,3686467,2,33
3730045,6446124,2,50
3730045,6446125,2,51
7275571,3730055,2,46
3730059,4378126,2,67
7275702,3730076,2,33
2237,3730042,2,204
7275583,3730043,2,67
2237,3730041,2,221
3619765,3730091,2,28
7275715,5144789,2,41
3619765,3730092,2,53
3730063,3686365,2,25
3730078,3686419,2,49
3730061,4834667,2,83
3730063,3686429,2,98
3785952,3730078,2,102
4314842,3730063,2,25
3686736,3730100,2,139
3730079,3686440,2,49
3730079,3686345,2,49
8451994,3730061,2,19
3730055,4378112,2,120
8451994,3730062,2,99
3785952,3730079,2,109
4377775,3730062,2,83
3620232,3730070,2,40
3730057,4378082,2,22
4614396,3730101,2,117
7275696,3730072,2,95
4614396,3730102,2,81
8452240,3730061,2,19
8452240,3730062,2,99
3686999,3730098,2,76
3686999,3730097,2,14
7275724,3730097,2,90
8451993,3730061,2,83
7275703,3730079,2,49
7275722,3730095,2,110
7275716,3730090,2,41
3663654,3730100,2,41
5121049,3730042,2,131
3686998,3730095,2,110
3730059,4378081,2,67
3730059,4378080,2,67
4471779,3730061,2,83
3730079,3686468,2,49
3686733,3730102,2,119
3686733,3730101,2,62
4314844,3730061,2,83
3663581,3730101,2,117
3663581,3730102,2,81
3764022,3730043,2,68
3764022,3730044,2,124
3687000,3730099,2,112
4378376,3730075,2,65
5478438,3730099,2,17
4471776,3730067,2,19
6563554,3730075,2,71
3730371,3730048,2,87
3730371,3730047,2,130
7275720,3730093,2,38
3730046,6446124,2,93
3730046,6446125,2,107
7275727,3730102,2,81
7275727,3730101,2,117
7275701,3730077,2,33
7275567,3730059,2,28
4471796,3730066,2,29
3730059,4834670,2,40
8452294,3730063,2,98
8452294,3730064,2,72
3730058,4834655,2,141
3730058,4834654,2,117
7275197,3730042,2,26
3730059,4834669,2,40
3730658,3730047,2,130
7275575,3730051,2,32
3730658,3730048,2,87
5478265,3730100,2,51
7275721,3730096,2,110
4377717,3730041,2,66
4377717,3730042,2,39
3730048,6446114,2,46
7275719,3730094,2,38
3663685,3730101,2,100
3730048,6446115,2,87
3663685,3730102,2,43
4274398,3730052,2,117
4274398,3730051,2,120
5478437,3730100,2,139
3620244,3730081,2,32
3619872,3730091,2,54
3343816,3730093,2,203
3343816,3730094,2,241
7946483,3730057,2,139
7946483,3730058,2,117
3619872,3730092,2,74
3730059,5397305,2,53
4723845,3730101,2,62
4723845,3730102,2,119
3730057,4390968,2,139
5673038,3730079,2,84
5673036,3730083,2,134
3730057,4390969,2,134
5673038,3730078,2,81
3663608,3730100,2,41
4274399,3730051,2,93
8451991,3730063,2,25
4314846,3730060,2,18
4274399,3730052,2,114
3663656,3730102,2,81
5673036,3730082,2,116
3663656,3730101,2,117
3730058,4834673,2,117
5478438,3730100,2,29
4314846,3730059,2,28
7275683,3730042,2,26
3730060,4378126,2,51
3687000,3730100,2,85
7275714,3730088,2,27
3730048,4124812,2,87
8452241,3730059,2,67
3730045,4124807,2,51
7946514,3730058,2,123
7946514,3730057,2,110
3620240,3730077,2,33
3663683,3730100,2,41
7275196,3730043,2,118
7275707,3730083,2,32
7275196,3730044,2,90
7275690,3730066,2,29
3730076,3686421,2,33
8452241,3730060,2,51
4377716,3730042,2,39
3620246,3730083,2,32
4314845,3730062,2,83
5150749,3730043,2,118
7275692,3730068,2,19
4377716,3730041,2,66
5150749,3730044,2,90
4377770,3730065,2,29
3730058,4834616,2,117
3730055,4378095,2,120
4314841,3730063,2,72
4314841,3730064,2,97
3620235,3730071,2,95
1671,3730101,2,243
3730657,3730048,2,76
4377777,3730060,2,65
4677674,3730076,2,75
1671,3730102,2,188
4677674,3730077,2,54
3786093,3730050,2,110
3730657,3730047,2,107
4274389,3730045,2,51
3730077,3686439,2,33
4377777,3730059,2,62
3730692,3730048,2,76
3619764,3730091,2,54
3730692,3730047,2,107
3619764,3730092,2,74
3730047,4124812,2,130
7275713,3730089,2,27
3620247,3730082,2,32
3730077,3686422,2,33
7275708,3730082,2,32
4377776,3730060,2,54
4274389,3730046,2,107
7275725,3730100,2,41
7275769,3730075,2,66
4284918,3730061,2,79
4284918,3730062,2,42
4377776,3730059,2,60
3786093,3730049,2,143
7275576,3730052,2,32
3686735,3730099,2,68
3730076,3686346,2,33
3730063,4390975,2,100
3786094,3730050,2,131
3730073,3686465,2,45
7275568,3730060,2,28
3730060,4834669,2,62
4284919,3730061,2,61
4284919,3730062,2,51
3785951,3730078,2,86
3785951,3730079,2,87
7275700,3730104,2,66
