from_stop_id,to_stop_id,transfer_type,min_transfer_time
8273444,7946436,2,98
7312097,3754329,2,8
8273444,7946435,2,17
2250,3754327,2,322
3754338,7946405,2,117
3786055,3754337,2,51
3754338,7946406,2,137
7946139,8273444,2,85
7312099,3754326,2,89
3754336,3781636,2,41
3754339,7946411,2,101
6251776,3754338,2,137
3754339,7946412,2,99
3754326,7946433,2,89
3754338,7946487,2,137
4294846,8273445,2,45
3754326,7946434,2,87
1925,3754327,2,322
7312095,8273444,2,17
3754338,7946486,2,117
7946187,8273444,2,85
3754327,7946431,2,82
3754339,7946493,2,99
7946179,3754327,2,82
7312094,8273444,2,98
3754327,7946434,2,116
3754339,7946492,2,101
3754337,3781675,2,104
6563576,3754338,2,137
3754328,7946434,2,39
7153070,3754338,2,117
7946141,3754326,2,87
7946181,3754326,2,89
7946141,3754327,2,116
3754328,7946493,2,39
7946141,3754328,2,39
3786056,3754337,2,43
3786052,3754338,2,137
3754337,3781637,2,43
8273444,7946417,2,17
8273444,7946418,2,98
7946184,3754329,2,43
4378354,3754338,2,117
7946141,3754339,2,99
3970585,8273445,2,144
3786068,8273445,2,45
3754338,7946427,2,117
7946182,3754326,2,87
3754326,7946492,2,89
7946181,3754339,2,101
3754338,7946428,2,137
3754326,7946493,2,87
7946182,3754328,2,39
7946182,3754327,2,116
3754326,7946411,2,89
3754327,7946412,2,116
3754326,7946412,2,87
8273444,7946494,2,17
8273444,7946495,2,98
7312098,3754339,2,99
3754339,7946433,2,101
3754339,7946434,2,99
7946211,3754338,2,117
7946140,3754329,2,43
3754316,8273445,2,144
7946188,8273444,2,85
7946175,3754338,2,117
7312096,3754329,2,43
6251775,3754338,2,117
3786066,3754336,2,116
3786069,8273444,2,39
3754328,7946412,2,39
7946182,3754339,2,99
3786067,3754335,2,39
4294861,8273445,2,45
3754338,3781639,2,137
7312099,3754339,2,101
7153071,3754338,2,137
7312098,3754328,2,39
7312098,3754327,2,116
7312098,3754326,2,87
3754327,7946493,2,116
7946176,3754338,2,137
3754338,4036798,2,117
3754327,7946409,2,82
3754338,4036799,2,137
3786054,3754338,2,106
7946183,3754329,2,8
3754327,7946490,2,82
