service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773219,0,0,0,0,0,0,0,20191122,20191220
2773209,0,0,0,0,0,0,0,20191124,20191229
2773217,0,0,0,0,0,0,0,20191123,20191228
2773216,0,0,0,0,0,0,0,20191125,20191219
2773215,0,0,0,0,0,0,0,20191230,20191230
2773214,0,0,0,0,0,0,0,20191223,20191226
2773222,0,0,0,0,0,0,0,20191224,20191227
12773209,0,0,0,0,0,0,0,20191125,20191230
12773219,0,0,0,0,0,0,0,20191123,20191221
12773216,0,0,0,0,0,0,0,20191126,20191220
2773221,0,0,0,0,0,0,0,20191231,20191231
12773217,0,0,0,0,0,0,0,20191124,20191229
12773221,0,0,0,0,0,0,0,20200101,20200101
12773222,0,0,0,0,0,0,0,20191225,20191228
12773214,0,0,0,0,0,0,0,20191224,20191227
12773215,0,0,0,0,0,0,0,20191231,20191231
