service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12773274,0,0,0,0,0,0,0,20191105,20191220
12773275,0,0,0,0,0,0,0,20191103,20191229
12773276,0,0,0,0,0,0,0,20191102,20191228
12773277,0,0,0,0,0,0,0,20191109,20191221
2773272,0,0,0,0,0,0,0,20191103,20191229
2773274,0,0,0,0,0,0,0,20191104,20191219
2773273,0,0,0,0,0,0,0,20191029,20191231
2773276,0,0,0,0,0,0,0,20191101,20191227
2773275,0,0,0,0,0,0,0,20191102,20191228
12773273,0,0,0,0,0,0,0,20191030,20200101
12773272,0,0,0,0,0,0,0,20191104,20191230
2773277,0,0,0,0,0,0,0,20191108,20191220
