from_stop_id,to_stop_id,transfer_type,min_transfer_time
3747911,1954,2,236
1744,7898880,2,247
4471735,1648,2,237
1808,7946485,2,189
7991801,1849,2,229
8451949,1854,2,275
1808,7946484,2,189
1744,3972545,2,192
1744,3972544,2,187
7946074,2080,2,229
2208,1954,2,59
4378353,2347,2,253
2506,4378066,2,261
7946087,2209,2,199
2221,4036985,2,220
2314,7931331,2,242
2221,4036986,2,189
2314,7931330,2,234
8452208,1808,2,207
1925,3754327,2,322
4658206,1744,2,203
2199,4035790,2,310
2199,4035792,2,202
2199,4035791,2,221
1675,1676,2,110
1800,7899129,2,270
8452054,1696,2,254
7946180,1925,2,248
7932141,1954,2,187
1925,7946409,2,239
1744,7898879,2,248
1681,7931814,2,201
1681,7931813,2,192
7920961,2209,2,210
1847,2102,2,600
7946074,2093,2,229
1925,7946410,2,248
8452208,2347,2,207
2250,7946431,2,239
2250,7946432,2,248
2347,7946403,2,189
2085,4035559,2,240
8007362,2134,2,239
2347,7946404,2,189
4471742,1740,2,211
7946083,2085,2,240
2345,4036766,2,231
7932141,2209,2,187
1954,4044988,2,198
2314,4036754,2,234
8452300,2506,2,254
2314,4036753,2,256
2316,7899127,2,277
2314,4036752,2,249
4843454,1871,2,192
2314,4036756,2,242
2314,4036755,2,236
4423342,2505,2,193
7946080,2486,2,196
1648,7991689,2,244
7931496,1854,2,234
7899668,1966,2,344
7899670,1966,2,368
1847,4459244,2,242
7899555,1676,2,340
1847,4459243,2,234
3747910,2209,2,254
1847,4459242,2,249
4658218,1911,2,197
8452217,1639,2,195
3747913,2546,2,240
6591774,1860,2,270
1966,2155,2,298
1925,7946431,2,239
7899555,2486,2,340
2221,7899616,2,301
2221,7986272,2,261
1925,7946432,2,248
1648,7991695,2,242
7946085,2209,2,236
5688817,1695,2,302
1648,7991696,2,234
7946170,2272,2,225
4471735,2528,2,237
7899742,1806,2,231
2226,8379442,2,279
2221,7275150,2,207
2226,8379441,2,279
2221,7275151,2,189
7946159,1854,2,275
1808,6446061,2,214
1971,8379441,2,279
1971,8379442,2,279
8451963,1808,2,215
5605601,1944,2,222
4658255,2199,2,310
1681,7964947,2,201
1681,7921216,2,198
8451982,1695,2,202
1944,5944484,2,203
1966,7922512,2,406
1944,4758990,2,310
1944,5944485,2,203
8452205,1876,2,212
1966,7922510,2,212
1966,7922511,2,212
2314,7946309,2,249
1953,1954,2,67
2314,7946307,2,222
2314,7946308,2,256
2314,7946305,2,216
2314,7946306,2,228
2345,7921098,2,199
8451952,1648,2,234
2314,7946304,2,233
1944,6869551,2,198
1944,5150444,2,198
1944,6869552,2,198
1849,3749683,2,277
7946205,2528,2,222
1944,4758983,2,230
1944,4758982,2,233
7946209,2347,2,189
8452204,2495,2,182
7991818,1800,2,270
8451983,2505,2,202
8033025,2015,2,184
7946204,1648,2,242
2400,3781644,2,315
2400,3781645,2,202
1966,4459252,2,261
1966,4459253,2,281
8033004,2345,2,223
2486,1674,2,234
1774,4037201,2,191
8452054,2506,2,254
7899977,2384,2,191
4037257,2321,2,234
7991803,1971,2,195
1953,2209,2,95
7946086,1954,2,254
4658218,2236,2,197
2221,7161643,2,216
2221,7161644,2,194
2250,7946491,2,248
8007363,1849,2,229
2250,7946490,2,239
4658214,1944,2,202
8452300,1696,2,254
2314,7931329,2,249
5605600,2199,2,216
2327,4035812,2,251
2327,4035811,2,270
1808,3813529,2,201
1808,3813528,2,198
2175,7931458,2,203
7991685,2528,2,237
5688817,2505,2,302
2226,7176247,2,230
1860,2328,2,75
2347,4124835,2,215
4471832,2412,2,204
1847,8379521,2,225
1966,7921219,2,282
2321,7946402,2,237
1966,4037197,2,207
2546,4036977,2,214
1966,4037196,2,281
2546,4036976,2,240
1908,2232,2,67
1703,4035804,2,234
7312111,1871,2,192
1703,4035805,2,216
1966,7921220,2,374
1808,7946403,2,189
7946164,1648,2,263
1808,7946404,2,189
2199,6869774,2,198
