service_id,date,exception_type
87284,20191122,1
87284,20191125,1
87284,20191126,1
87284,20191127,1
87284,20191128,1
87284,20191129,1
87284,20191202,1
87284,20191203,1
87284,20191204,1
87284,20191205,1
87284,20191206,1
87284,20191209,1
87284,20191210,1
87284,20191211,1
87284,20191212,1
87284,20191213,1
87284,20191216,1
87284,20191217,1
87284,20191218,1
87284,20191219,1
87284,20191220,1
87284,20191223,1
87284,20191224,1
87284,20191226,1
87284,20191227,1
87284,20191230,1
87284,20191231,1
394015,20191123,1
394015,20191130,1
394015,20191207,1
394015,20191214,1
394015,20191221,1
394015,20191228,1
1388795,20191125,1
1388795,20191202,1
1388795,20191209,1
1388795,20191216,1
1388795,20191223,1
1388795,20191226,1
1388795,20191230,1
187284,20191123,1
187284,20191126,1
187284,20191127,1
187284,20191128,1
187284,20191129,1
187284,20191130,1
187284,20191203,1
187284,20191204,1
187284,20191205,1
187284,20191206,1
187284,20191207,1
187284,20191210,1
187284,20191211,1
187284,20191212,1
187284,20191213,1
187284,20191214,1
187284,20191217,1
187284,20191218,1
187284,20191219,1
187284,20191220,1
187284,20191221,1
187284,20191224,1
187284,20191225,1
187284,20191227,1
187284,20191228,1
187284,20191231,1
187284,20200101,1
1394015,20191124,1
1394015,20191201,1
1394015,20191208,1
1394015,20191215,1
1394015,20191222,1
1394015,20191229,1
388795,20191124,1
388795,20191201,1
388795,20191208,1
388795,20191215,1
388795,20191222,1
388795,20191225,1
388795,20191229,1
