service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13080256,0,0,0,0,0,0,0,20191030,20191123
3080256,0,0,0,0,0,0,0,20191029,20191122
3087140,0,0,0,0,0,0,0,20191109,20191111
13087027,0,0,0,0,0,0,0,20191105,20191109
3039900,0,0,0,0,0,0,0,20191116,20191124
3092997,0,0,0,0,0,0,0,20191101,20191102
3033555,0,0,0,0,0,0,0,20191130,20191222
3092998,0,0,0,0,0,0,0,20191103,20191103
13039900,0,0,0,0,0,0,0,20191117,20191125
13092998,0,0,0,0,0,0,0,20191104,20191104
3080262,0,0,0,0,0,0,0,20191031,20191031
3087027,0,0,0,0,0,0,0,20191104,20191108
13092997,0,0,0,0,0,0,0,20191102,20191103
13087140,0,0,0,0,0,0,0,20191110,20191112
13080262,0,0,0,0,0,0,0,20191101,20191101
3070987,0,0,0,0,0,0,0,20191125,20191224
13033555,0,0,0,0,0,0,0,20191201,20191223
13070987,0,0,0,0,0,0,0,20191126,20191225
