from_stop_id,to_stop_id,transfer_type,min_transfer_time
4024196,1913,2,255
6187507,1829,2,184
4723846,2481,2,257
4614420,2143,2,201
3682922,1838,2,252
4614503,2532,2,207
6217336,1830,2,270
7176243,1835,2,277
7714323,2368,2,237
6217406,2545,2,206
7946000,2084,2,261
3682834,1837,2,236
4024196,2238,2,284
2211,7931530,2,259
3616865,2010,2,211
3619405,1904,2,205
3682834,2304,2,236
3663697,2481,2,310
1878,4023515,2,207
1847,2102,2,600
7176247,2102,2,279
5675644,2211,2,207
1878,4023516,2,207
7312062,1859,2,201
4023814,2523,2,200
6187575,1670,2,264
7376203,1643,2,200
7921091,2102,2,211
7900220,2102,2,211
1829,6456028,2,184
4024019,1913,2,278
7714234,1829,2,184
3663622,2481,2,310
2238,1887,2,180
4024168,2238,2,270
4614503,1652,2,207
2307,6741294,2,216
4025059,1713,2,229
6187509,2368,2,237
7931502,1956,2,207
3343767,2102,2,600
3687692,1631,2,222
4037173,2302,2,210
3686062,2198,2,222
4723887,2024,2,299
4024842,2238,2,220
4614461,2532,2,207
3619405,2300,2,205
1840,3681630,2,228
1840,3681631,2,227
2306,6741419,2,209
2306,6741418,2,200
1913,4024844,2,221
1839,4208561,2,209
1839,4208560,2,200
5675598,2123,2,256
1913,4024843,2,261
3677679,1859,2,195
5231571,2499,2,230
3682940,2304,2,211
4037174,1835,2,196
7899766,2545,2,219
6401893,2499,2,305
8399872,2084,2,242
4024110,2238,2,221
2307,6741295,2,202
4723886,2024,2,215
1967,2220,2,480
4036206,1956,2,207
5231565,1837,2,228
7714325,1829,2,184
2068,1956,2,900
2480,4035021,2,264
5478423,1904,2,237
5231651,1689,2,208
7899749,2211,2,216
6187574,2480,2,264
4009365,2238,2,242
3677740,1839,2,207
7305036,2084,2,201
3708130,2305,2,286
1689,3690368,2,296
1689,3690364,2,324
1689,3690363,2,297
1689,3690366,2,214
5478423,2300,2,237
1689,3690365,2,193
1835,2338,2,196
2211,7898839,2,205
5150290,1652,2,205
2480,4035022,2,264
2211,7898842,2,190
2211,7898843,2,207
2211,7898840,2,205
3663610,1671,2,216
3677687,1839,2,200
7311997,1636,2,237
8007411,2102,2,211
7899765,2545,2,206
7376203,2523,2,200
4180943,2024,2,220
2053,1890,2,250
8007439,2053,2,96
3718086,2024,2,211
2370,8092753,2,202
3686596,1680,2,268
2370,8092754,2,223
2211,7931560,2,240
7931381,2053,2,192
4024345,1913,2,221
2370,8092755,2,290
2370,8092756,2,275
6217337,1830,2,258
4022899,2545,2,219
2313,2102,2,600
2511,5922163,2,255
5675682,2490,2,229
2511,5922162,2,193
7312034,2326,2,189
3682862,1838,2,296
2370,4024934,2,265
2370,4024933,2,221
3708130,1838,2,286
2198,3690381,2,232
4024019,2238,2,316
2024,5150150,2,216
1636,4208596,2,198
1636,4208597,2,198
2129,4208517,2,193
6195714,2238,2,202
4614202,2305,2,286
4024087,2370,2,183
2211,2210,2,219
2143,5150150,2,216
3663618,1848,2,200
2516,3682707,2,198
2129,4208518,2,193
7899766,2084,2,219
2516,3682706,2,198
1956,1955,2,247
4023742,1643,2,200
4025044,2458,2,245
8399873,2084,2,226
4023743,2523,2,196
4614501,1840,2,205
3672262,2302,2,277
7899661,2211,2,216
4037262,1956,2,263
5150173,1831,2,227
1166834,2222,2,480
4025059,2458,2,229
5231557,1652,2,257
4614367,1652,2,207
7069319,1831,2,265
4022920,2238,2,210
7311996,1636,2,207
5231528,2516,2,198
3663659,1848,2,216
4614643,2532,2,258
1956,3926299,2,256
1956,3926298,2,259
7275727,1671,2,234
2084,7691432,2,230
5231656,2304,2,211
7069335,1831,2,183
2084,7691431,2,230
4037235,2084,2,222
4036207,2211,2,256
4614500,2307,2,205
2084,5018182,2,251
2437,1956,2,600
4028771,1943,2,222
2368,6456028,2,184
2084,5018183,2,274
7946029,1904,2,191
4614233,2129,2,205
2532,4614324,2,220
3682998,2304,2,211
5231612,2211,2,207
4614203,1838,2,272
5761374,2458,2,322
