service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13048422,0,0,0,0,0,0,0,20191030,20191231
13048424,0,0,0,0,0,0,0,20191103,20191229
3080365,0,0,0,0,0,0,0,20191103,20191229
13048426,0,0,0,0,0,0,0,20191101,20200101
3048422,0,0,0,0,0,0,0,20191029,20191230
3080366,0,0,0,0,0,0,0,20191104,20191219
13048425,0,0,0,0,0,0,0,20191109,20191221
3048425,0,0,0,0,0,0,0,20191108,20191220
13080365,0,0,0,0,0,0,0,20191104,20191230
3048424,0,0,0,0,0,0,0,20191102,20191228
13061959,0,0,0,0,0,0,0,20191102,20191111
3048426,0,0,0,0,0,0,0,20191031,20191231
3080367,0,0,0,0,0,0,0,20191109,20191221
13080366,0,0,0,0,0,0,0,20191105,20191220
13080367,0,0,0,0,0,0,0,20191110,20191222
3061959,0,0,0,0,0,0,0,20191101,20191110
