service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13027592,0,0,0,0,0,0,0,20191030,20191031
13027593,0,0,0,0,0,0,0,20191103,20191201
13027590,0,0,0,0,0,0,0,20191104,20191202
13027591,0,0,0,0,0,0,0,20191105,20191206
13048427,0,0,0,0,0,0,0,20191111,20191111
3048427,0,0,0,0,0,0,0,20191110,20191110
13048386,0,0,0,0,0,0,0,20191209,20191216
13048384,0,0,0,0,0,0,0,20191221,20191221
13048385,0,0,0,0,0,0,0,20191225,20200101
13048383,0,0,0,0,0,0,0,20191214,20191214
13048382,0,0,0,0,0,0,0,20191222,20191229
13048381,0,0,0,0,0,0,0,20191208,20191215
3048377,0,0,0,0,0,0,0,20191101,20191101
13048380,0,0,0,0,0,0,0,20191224,20191231
3048376,0,0,0,0,0,0,0,20191222,20191229
13027595,0,0,0,0,0,0,0,20191109,20191207
13027594,0,0,0,0,0,0,0,20191101,20191101
3027590,0,0,0,0,0,0,0,20191103,20191201
3027591,0,0,0,0,0,0,0,20191104,20191205
13048377,0,0,0,0,0,0,0,20191102,20191102
13048378,0,0,0,0,0,0,0,20191210,20191213
3027592,0,0,0,0,0,0,0,20191029,20191030
13048379,0,0,0,0,0,0,0,20191217,20191220
3027593,0,0,0,0,0,0,0,20191102,20191130
3027594,0,0,0,0,0,0,0,20191031,20191031
3027595,0,0,0,0,0,0,0,20191108,20191206
3048378,0,0,0,0,0,0,0,20191209,20191212
3048379,0,0,0,0,0,0,0,20191216,20191219
13048376,0,0,0,0,0,0,0,20191223,20191230
3048386,0,0,0,0,0,0,0,20191208,20191215
3048385,0,0,0,0,0,0,0,20191224,20191231
3048384,0,0,0,0,0,0,0,20191220,20191220
3048383,0,0,0,0,0,0,0,20191213,20191213
3048382,0,0,0,0,0,0,0,20191221,20191228
3048381,0,0,0,0,0,0,0,20191207,20191214
3048380,0,0,0,0,0,0,0,20191223,20191230
