from_stop_id,to_stop_id,transfer_type,min_transfer_time
7921369,3813521,2,73
4036796,3813529,2,72
3813512,5121994,2,89
3763974,3813519,2,115
4036796,3813528,2,72
3763974,3813518,2,58
3887796,3813508,2,66
3887796,3813509,2,60
3672264,3813548,2,39
3672264,3813549,2,36
7922538,3813512,2,92
7275461,3813519,2,82
7946272,3813513,2,83
4677675,3813530,2,63
7946272,3813512,2,89
7275461,3813518,2,63
4677675,3813531,2,54
3813549,2429,2,236
1750,3813507,2,190
5478367,3813538,2,9
3813548,1751,2,225
1750,3813506,2,208
7153069,3813529,2,57
7920695,3813502,2,45
7153069,3813528,2,54
7920695,3813503,2,98
5478367,3813539,2,45
5478368,3813539,2,23
5478368,3813538,2,20
7920760,3813503,2,89
7931759,3813548,2,54
7921344,3813503,2,80
7945961,3813519,2,111
4036794,3813528,2,74
7945961,3813518,2,105
7921369,3813520,2,61
3786050,3813528,2,101
4036794,3813529,2,63
7946209,3813528,2,74
7946209,3813529,2,63
5478369,3813540,2,62
6673113,3813518,2,63
2428,3813507,2,190
5478369,3813541,2,86
2428,3813506,2,208
6673113,3813519,2,82
7946403,3813528,2,21
7946210,3813529,2,72
8219650,3813518,2,103
8219650,3813519,2,49
7946403,3813529,2,33
3893385,3813535,2,59
3893385,3813534,2,106
7946210,3813528,2,72
7945962,3813518,2,106
7946484,3813528,2,21
7946484,3813529,2,33
4723806,3813541,2,86
4723806,3813540,2,62
4036795,3813529,2,51
4036795,3813528,2,63
7376179,3813519,2,49
7376179,3813518,2,103
4723807,3813541,2,67
3887795,3813509,2,42
7965051,3813540,2,68
7965051,3813541,2,33
4723807,3813540,2,39
7931915,3813533,2,67
7931915,3813532,2,45
3813519,5122082,2,108
4723804,3813539,2,45
3672107,3813548,2,39
3672107,3813549,2,36
4723804,3813538,2,9
1976,3813523,2,243
8219794,3813541,2,86
8219794,3813540,2,62
3887795,3813508,2,85
7627546,3813516,2,81
7714331,3813500,2,72
7714331,3813501,2,72
3763975,3813518,2,58
3893387,3813534,2,85
3893387,3813535,2,72
3763975,3813519,2,115
7627542,3813516,2,93
4124835,3813528,2,72
4124835,3813529,2,72
6251772,3813528,2,63
4471834,3813534,2,85
6251772,3813529,2,51
4471834,3813535,2,72
7647695,3813548,2,36
7647695,3813549,2,44
4378353,3813529,2,115
4378353,3813528,2,107
3343801,3813540,2,214
3343801,3813541,2,235
6251771,3813529,2,63
6251771,3813528,2,74
6446080,3813527,2,104
6446080,3813526,2,72
1976,3813522,2,225
7931998,3813507,2,45
7931998,3813506,2,67
3781622,3813519,2,99
7275170,3813519,2,61
7275170,3813518,2,78
3781622,3813518,2,46
1808,3813529,2,201
1808,3813528,2,198
4723805,3813539,2,23
4723805,3813538,2,20
6446063,3813527,2,104
6446063,3813526,2,72
4036214,3813546,2,63
4036214,3813547,2,85
7920835,3813503,2,89
