from_stop_id,to_stop_id,transfer_type,min_transfer_time
7647695,2429,2,224
7899548,7647709,2,107
7647707,6575220,2,100
5355345,7647719,2,25
5355345,7647718,2,46
7647719,3972544,2,7
7647695,7920863,2,41
2420,7647733,2,215
2420,7647732,2,221
3741068,7647730,2,88
3741068,7647731,2,54
7647707,6575219,2,22
7899273,7647728,2,78
7899273,7647729,2,57
8033039,7647733,2,45
8033039,7647732,2,44
7647698,3926278,2,44
7647698,3926279,2,39
7647698,3926277,2,83
5944498,7647714,2,119
7647738,7176269,2,48
5944498,7647715,2,127
7714410,7647732,2,77
7714410,7647733,2,99
7921145,7647701,2,106
7899228,7647728,2,78
7899228,7647729,2,57
1742,7647733,2,215
1743,7647728,2,232
1743,7647729,2,214
1742,7647732,2,221
7647736,7921077,2,29
7647696,7920881,2,57
3731627,7647713,2,17
3731627,7647712,2,12
7946332,7647734,2,56
7946332,7647735,2,96
3750042,7647726,2,106
7647695,1751,2,224
3750045,7647729,2,39
3750045,7647728,2,47
4000519,7647729,2,87
7647719,3972545,2,25
7647707,7932037,2,47
7647746,7932040,2,23
7647736,7921080,2,56
7647697,1745,2,208
3672109,7647698,2,81
3672109,7647697,2,81
7647697,2423,2,208
7899229,7647729,2,86
8007440,7647712,2,12
7899229,7647728,2,108
7647697,7920866,2,84
7647697,7920867,2,70
8007440,7647713,2,17
4000520,7647728,2,46
4000520,7647729,2,28
3922450,7647725,2,95
7647743,7900012,2,103
7647729,4035714,2,86
7647695,7170686,2,41
7647742,4758934,2,90
7647746,7932037,2,65
7647695,7170683,2,43
7647746,7932039,2,36
7661346,7647732,2,96
3687659,7647707,2,43
7899371,7647729,2,57
6263541,7647701,2,106
7899371,7647728,2,78
7647696,7920863,2,57
7647737,7691395,2,4
7647737,7691394,2,61
7647729,7945899,2,133
7932253,7647744,2,93
7647742,1741,2,213
7647745,7691426,2,5
7647742,4036731,2,90
8007491,7647713,2,21
8007491,7647712,2,21
7931359,7647707,2,57
7647696,1751,2,215
7932122,7647725,2,95
7170684,7647695,2,43
7647707,7899606,2,47
7946067,7647725,2,95
3672110,7647697,2,32
7170684,7647696,2,57
3672110,7647698,2,27
7647707,7899607,2,47
5231626,7647701,2,106
2430,7647746,2,199
4211793,7647732,2,61
3672107,7647695,2,41
4211793,7647733,2,70
3672107,7647696,2,57
2424,7647712,2,416
7275129,7647732,2,61
7946329,7647735,2,65
7946329,7647734,2,87
5158063,7647742,2,90
5158063,7647743,2,103
7647746,1753,2,199
7275129,7647733,2,70
7676427,7647735,2,96
7647696,7366077,2,57
7931450,7647734,2,68
7647744,7691426,2,30
7946331,7647734,2,68
7647696,7931830,2,57
7676427,7647734,2,56
7931357,7647707,2,88
7647728,7945899,2,154
3741070,7647728,2,108
6591768,7647707,2,94
7647695,7931759,2,43
7647728,3740974,2,47
7647707,1753,2,211
7647728,3740975,2,46
7137438,7647737,2,63
7647696,7931841,2,57
7647739,7176269,2,36
3672111,7647701,2,106
7137438,7647736,2,31
7899537,7647708,2,21
7899537,7647709,2,9
7647695,7920881,2,43
7714409,7647732,2,77
7714409,7647733,2,99
6591768,7647746,2,79
5355344,7647718,2,34
7647701,3926272,2,72
7647734,7691393,2,71
7647701,3926273,2,59
5761315,7647725,2,95
7647695,3813548,2,36
7647702,3926273,2,80
7647743,4036731,2,103
7647695,3813549,2,44
7647702,3926272,2,92
7647737,1748,2,237
5355344,7647719,2,32
7647696,7170686,2,57
8033040,7647732,2,61
3741067,7647731,2,51
8033040,7647733,2,70
3741067,7647730,2,84
7647696,7170683,2,57
7647707,4009041,2,73
7899327,7647729,2,86
7899327,7647728,2,108
4146113,7647698,2,27
3687659,7647746,2,57
4146113,7647697,2,32
7647726,4035712,2,106
5081720,7647743,2,103
3926377,7647695,2,41
5081720,7647742,2,90
7931359,7647746,2,74
3926377,7647696,2,57
7647697,3690063,2,72
7137418,7647737,2,88
7137418,7647736,2,56
7647729,3740974,2,28
7647729,3740975,2,28
