trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
10030001461217342,01:30:00,01:30:00,4798986,1,,
10030001461217342,01:31:00,01:31:00,4798988,2,,
10030001461217342,01:33:00,01:33:00,4798990,3,,
10030001461217342,01:35:00,01:35:00,4798992,4,,
10030001461217342,01:38:00,01:38:00,4798994,5,,
10030001461217342,01:39:00,01:39:00,4798996,6,,
10030001461217342,01:40:00,01:40:00,4798998,7,,
10030001461217342,01:42:00,01:42:00,4799000,8,,
10030001461217342,01:45:00,01:45:00,4799002,9,,
10030001481217342,20:00:00,20:00:00,4798986,1,,
10030001481217342,20:01:00,20:01:00,4798988,2,,
10030001481217342,20:03:00,20:03:00,4798990,3,,
10030001481217342,20:05:00,20:05:00,4798992,4,,
10030001481217342,20:08:00,20:08:00,4798994,5,,
10030001481217342,20:09:00,20:09:00,4798996,6,,
10030001481217342,20:10:00,20:10:00,4798998,7,,
10030001481217342,20:12:00,20:12:00,4799000,8,,
10030001481217342,20:16:00,20:16:00,4799002,9,,
10030001491217342,20:10:00,20:10:00,4798986,1,,
10030001491217342,20:11:00,20:11:00,4798988,2,,
10030001491217342,20:13:00,20:13:00,4798990,3,,
10030001491217342,20:15:00,20:15:00,4798992,4,,
10030001491217342,20:18:00,20:18:00,4798994,5,,
10030001491217342,20:19:00,20:19:00,4798996,6,,
10030001491217342,20:20:00,20:20:00,4798998,7,,
10030001491217342,20:22:00,20:22:00,4799000,8,,
10030001491217342,20:25:00,20:25:00,4799002,9,,
10030001511217342,23:00:00,23:00:00,4798986,1,,
10030001511217342,23:01:00,23:01:00,4798988,2,,
10030001511217342,23:03:00,23:03:00,4798990,3,,
10030001511217342,23:05:00,23:05:00,4798992,4,,
10030001511217342,23:08:00,23:08:00,4798994,5,,
10030001511217342,23:09:00,23:09:00,4798996,6,,
10030001511217342,23:10:00,23:10:00,4798998,7,,
10030001511217342,23:12:00,23:12:00,4799000,8,,
10030001511217342,23:15:00,23:15:00,4799002,9,,
10030001531217342,20:00:00,20:00:00,4798986,1,,
10030001531217342,20:01:00,20:01:00,4798988,2,,
10030001531217342,20:03:00,20:03:00,4798990,3,,
10030001531217342,20:05:00,20:05:00,4798992,4,,
10030001531217342,20:08:00,20:08:00,4798994,5,,
10030001531217342,20:09:00,20:09:00,4798996,6,,
10030001531217342,20:10:00,20:10:00,4798998,7,,
10030001531217342,20:12:00,20:12:00,4799000,8,,
10030001531217342,20:16:00,20:16:00,4799002,9,,
10030001541217342,20:10:00,20:10:00,4798986,1,,
10030001541217342,20:11:00,20:11:00,4798988,2,,
10030001541217342,20:13:00,20:13:00,4798990,3,,
10030001541217342,20:15:00,20:15:00,4798992,4,,
10030001541217342,20:18:00,20:18:00,4798994,5,,
10030001541217342,20:19:00,20:19:00,4798996,6,,
10030001541217342,20:20:00,20:20:00,4798998,7,,
10030001541217342,20:22:00,20:22:00,4799000,8,,
10030001541217342,20:25:00,20:25:00,4799002,9,,
10030484291217342,20:00:00,20:00:00,4798986,1,,
10030484291217342,20:01:00,20:01:00,4798988,2,,
10030484291217342,20:03:00,20:03:00,4798990,3,,
10030484291217342,20:05:00,20:05:00,4798992,4,,
10030484291217342,20:08:00,20:08:00,4798994,5,,
10030484291217342,20:09:00,20:09:00,4798996,6,,
10030484291217342,20:10:00,20:10:00,4798998,7,,
10030484291217342,20:12:00,20:12:00,4799000,8,,
10030484291217342,20:16:00,20:16:00,4799002,9,,
10030484301217342,20:10:00,20:10:00,4798986,1,,
10030484301217342,20:11:00,20:11:00,4798988,2,,
10030484301217342,20:13:00,20:13:00,4798990,3,,
10030484301217342,20:15:00,20:15:00,4798992,4,,
10030484301217342,20:18:00,20:18:00,4798994,5,,
10030484301217342,20:19:00,20:19:00,4798996,6,,
10030484301217342,20:20:00,20:20:00,4798998,7,,
10030484301217342,20:22:00,20:22:00,4799000,8,,
10030484301217342,20:25:00,20:25:00,4799002,9,,
10030484311217342,22:24:00,22:24:00,4798986,1,,
10030484311217342,22:25:00,22:25:00,4798988,2,,
10030484311217342,22:27:00,22:27:00,4798990,3,,
10030484311217342,22:29:00,22:29:00,4798992,4,,
10030484311217342,22:32:00,22:32:00,4798994,5,,
10030484311217342,22:33:00,22:33:00,4798996,6,,
10030484311217342,22:34:00,22:34:00,4798998,7,,
10030484311217342,22:36:00,22:36:00,4799000,8,,
10030484311217342,22:39:00,22:39:00,4799002,9,,
10030484321217342,20:00:00,20:00:00,4798986,1,,
10030484321217342,20:01:00,20:01:00,4798988,2,,
10030484321217342,20:03:00,20:03:00,4798990,3,,
10030484321217342,20:05:00,20:05:00,4798992,4,,
10030484321217342,20:08:00,20:08:00,4798994,5,,
10030484321217342,20:09:00,20:09:00,4798996,6,,
10030484321217342,20:10:00,20:10:00,4798998,7,,
10030484321217342,20:12:00,20:12:00,4799000,8,,
10030484321217342,20:16:00,20:16:00,4799002,9,,
10030484331217342,20:10:00,20:10:00,4798986,1,,
10030484331217342,20:11:00,20:11:00,4798988,2,,
10030484331217342,20:13:00,20:13:00,4798990,3,,
10030484331217342,20:15:00,20:15:00,4798992,4,,
10030484331217342,20:18:00,20:18:00,4798994,5,,
10030484331217342,20:19:00,20:19:00,4798996,6,,
10030484331217342,20:20:00,20:20:00,4798998,7,,
10030484331217342,20:22:00,20:22:00,4799000,8,,
10030484331217342,20:25:00,20:25:00,4799002,9,,
10130001481217342,20:07:00,20:07:00,4798986,1,,
10130001481217342,20:08:00,20:08:00,4798988,2,,
10130001481217342,20:10:00,20:10:00,4798990,3,,
10130001481217342,20:12:00,20:12:00,4798992,4,,
10130001481217342,20:15:00,20:15:00,4798994,5,,
10130001481217342,20:16:00,20:16:00,4798996,6,,
10130001481217342,20:17:00,20:17:00,4798998,7,,
10130001481217342,20:19:00,20:19:00,4799000,8,,
10130001481217342,20:22:00,20:22:00,4799002,9,,
10130001491217342,20:22:00,20:22:00,4798986,1,,
10130001491217342,20:23:00,20:23:00,4798988,2,,
10130001491217342,20:25:00,20:25:00,4798990,3,,
10130001491217342,20:27:00,20:27:00,4798992,4,,
10130001491217342,20:30:00,20:30:00,4798994,5,,
10130001491217342,20:31:00,20:31:00,4798996,6,,
10130001491217342,20:32:00,20:32:00,4798998,7,,
10130001491217342,20:34:00,20:34:00,4799000,8,,
10130001491217342,20:37:00,20:37:00,4799002,9,,
10130001511217342,23:18:00,23:18:00,4798986,1,,
10130001511217342,23:19:00,23:19:00,4798988,2,,
10130001511217342,23:21:00,23:21:00,4798990,3,,
10130001511217342,23:23:00,23:23:00,4798992,4,,
10130001511217342,23:26:00,23:26:00,4798994,5,,
10130001511217342,23:27:00,23:27:00,4798996,6,,
10130001511217342,23:28:00,23:28:00,4798998,7,,
10130001511217342,23:30:00,23:30:00,4799000,8,,
10130001511217342,23:33:00,23:33:00,4799002,9,,
10130001531217342,20:07:00,20:07:00,4798986,1,,
10130001531217342,20:08:00,20:08:00,4798988,2,,
10130001531217342,20:10:00,20:10:00,4798990,3,,
10130001531217342,20:12:00,20:12:00,4798992,4,,
10130001531217342,20:15:00,20:15:00,4798994,5,,
10130001531217342,20:16:00,20:16:00,4798996,6,,
10130001531217342,20:17:00,20:17:00,4798998,7,,
10130001531217342,20:19:00,20:19:00,4799000,8,,
10130001531217342,20:22:00,20:22:00,4799002,9,,
10130001541217342,20:22:00,20:22:00,4798986,1,,
10130001541217342,20:23:00,20:23:00,4798988,2,,
10130001541217342,20:25:00,20:25:00,4798990,3,,
10130001541217342,20:27:00,20:27:00,4798992,4,,
10130001541217342,20:30:00,20:30:00,4798994,5,,
10130001541217342,20:31:00,20:31:00,4798996,6,,
10130001541217342,20:32:00,20:32:00,4798998,7,,
10130001541217342,20:34:00,20:34:00,4799000,8,,
10130001541217342,20:37:00,20:37:00,4799002,9,,
10130484291217342,20:07:00,20:07:00,4798986,1,,
10130484291217342,20:08:00,20:08:00,4798988,2,,
10130484291217342,20:10:00,20:10:00,4798990,3,,
10130484291217342,20:12:00,20:12:00,4798992,4,,
10130484291217342,20:15:00,20:15:00,4798994,5,,
10130484291217342,20:16:00,20:16:00,4798996,6,,
10130484291217342,20:17:00,20:17:00,4798998,7,,
10130484291217342,20:19:00,20:19:00,4799000,8,,
10130484291217342,20:22:00,20:22:00,4799002,9,,
10130484301217342,20:22:00,20:22:00,4798986,1,,
10130484301217342,20:23:00,20:23:00,4798988,2,,
10130484301217342,20:25:00,20:25:00,4798990,3,,
10130484301217342,20:27:00,20:27:00,4798992,4,,
10130484301217342,20:30:00,20:30:00,4798994,5,,
10130484301217342,20:31:00,20:31:00,4798996,6,,
10130484301217342,20:32:00,20:32:00,4798998,7,,
10130484301217342,20:34:00,20:34:00,4799000,8,,
10130484301217342,20:37:00,20:37:00,4799002,9,,
10130484311217342,22:42:00,22:42:00,4798986,1,,
10130484311217342,22:43:00,22:43:00,4798988,2,,
10130484311217342,22:45:00,22:45:00,4798990,3,,
10130484311217342,22:47:00,22:47:00,4798992,4,,
10130484311217342,22:50:00,22:50:00,4798994,5,,
10130484311217342,22:51:00,22:51:00,4798996,6,,
10130484311217342,22:52:00,22:52:00,4798998,7,,
10130484311217342,22:54:00,22:54:00,4799000,8,,
10130484311217342,22:57:00,22:57:00,4799002,9,,
10130484321217342,20:07:00,20:07:00,4798986,1,,
10130484321217342,20:08:00,20:08:00,4798988,2,,
10130484321217342,20:10:00,20:10:00,4798990,3,,
10130484321217342,20:12:00,20:12:00,4798992,4,,
10130484321217342,20:15:00,20:15:00,4798994,5,,
10130484321217342,20:16:00,20:16:00,4798996,6,,
10130484321217342,20:17:00,20:17:00,4798998,7,,
10130484321217342,20:19:00,20:19:00,4799000,8,,
10130484321217342,20:22:00,20:22:00,4799002,9,,
10130484331217342,20:22:00,20:22:00,4798986,1,,
10130484331217342,20:23:00,20:23:00,4798988,2,,
10130484331217342,20:25:00,20:25:00,4798990,3,,
10130484331217342,20:27:00,20:27:00,4798992,4,,
10130484331217342,20:30:00,20:30:00,4798994,5,,
10130484331217342,20:31:00,20:31:00,4798996,6,,
10130484331217342,20:32:00,20:32:00,4798998,7,,
10130484331217342,20:34:00,20:34:00,4799000,8,,
10130484331217342,20:37:00,20:37:00,4799002,9,,
10230001481217342,20:13:00,20:13:00,4798986,1,,
10230001481217342,20:14:00,20:14:00,4798988,2,,
10230001481217342,20:16:00,20:16:00,4798990,3,,
10230001481217342,20:18:00,20:18:00,4798992,4,,
10230001481217342,20:21:00,20:21:00,4798994,5,,
10230001481217342,20:22:00,20:22:00,4798996,6,,
10230001481217342,20:23:00,20:23:00,4798998,7,,
10230001481217342,20:25:00,20:25:00,4799000,8,,
10230001481217342,20:28:00,20:28:00,4799002,9,,
10230001491217342,20:29:00,20:29:00,4798986,1,,
10230001491217342,20:30:00,20:30:00,4798988,2,,
10230001491217342,20:32:00,20:32:00,4798990,3,,
10230001491217342,20:34:00,20:34:00,4798992,4,,
10230001491217342,20:37:00,20:37:00,4798994,5,,
10230001491217342,20:38:00,20:38:00,4798996,6,,
10230001491217342,20:39:00,20:39:00,4798998,7,,
10230001491217342,20:41:00,20:41:00,4799000,8,,
10230001491217342,20:44:00,20:44:00,4799002,9,,
10230001511217342,23:36:00,23:36:00,4798986,1,,
10230001511217342,23:37:00,23:37:00,4798988,2,,
10230001511217342,23:39:00,23:39:00,4798990,3,,
10230001511217342,23:41:00,23:41:00,4798992,4,,
10230001511217342,23:44:00,23:44:00,4798994,5,,
10230001511217342,23:45:00,23:45:00,4798996,6,,
10230001511217342,23:46:00,23:46:00,4798998,7,,
10230001511217342,23:48:00,23:48:00,4799000,8,,
10230001511217342,23:51:00,23:51:00,4799002,9,,
10230001531217342,20:13:00,20:13:00,4798986,1,,
10230001531217342,20:14:00,20:14:00,4798988,2,,
10230001531217342,20:16:00,20:16:00,4798990,3,,
10230001531217342,20:18:00,20:18:00,4798992,4,,
10230001531217342,20:21:00,20:21:00,4798994,5,,
10230001531217342,20:22:00,20:22:00,4798996,6,,
10230001531217342,20:23:00,20:23:00,4798998,7,,
10230001531217342,20:25:00,20:25:00,4799000,8,,
10230001531217342,20:28:00,20:28:00,4799002,9,,
