from_stop_id,to_stop_id,transfer_type,min_transfer_time
8303806,4798990,2,133
8303806,4798991,2,126
4799005,7260971,2,115
8303806,4799008,2,133
4799005,7260970,2,131
8303806,4799009,2,126
6783437,4799028,2,6
7714392,4798989,2,25
7714392,4798988,2,5
4799029,5121506,2,8
4799029,5121505,2,15
5158005,4799022,2,32
6783436,4799027,2,25
6783436,4799026,2,27
5081758,4799025,2,101
4799024,5121501,2,36
4799024,5121502,2,62
5081758,4799024,2,97
8303807,4798991,2,133
7714428,4799005,2,79
7714428,4799004,2,103
8303807,4798990,2,142
4799004,2462,2,205
5157998,4799029,2,8
4000542,4799005,2,131
4000542,4799004,2,108
5157998,4799028,2,16
5150729,4799023,2,9
4798986,1717,2,205
4798997,6741236,2,113
4472719,4799022,2,32
5150729,4799022,2,35
4798997,6741235,2,91
4472719,4799023,2,50
6783429,4799021,2,111
6783429,4799020,2,112
6783434,4799024,2,138
6783434,4799025,2,122
5157999,4799028,2,6
5157999,4799029,2,15
4798987,4009073,2,63
5158005,4799023,2,50
5150727,4799021,2,84
5150727,4799020,2,101
4798996,6741235,2,88
4798996,6741236,2,111
4798987,4009067,2,57
4799005,1717,2,210
5158021,4798997,2,43
7714429,4798988,2,5
5158021,4798996,2,54
6748606,4799004,2,87
6748606,4799005,2,63
7714429,4798989,2,25
4211770,4799005,2,127
5761302,4799005,2,115
5761302,4799004,2,95
4799013,6741233,2,133
4799013,6741232,2,23
4799013,6741231,2,45
4211770,4799004,2,119
5150834,4799024,2,97
5150834,4799025,2,101
4798986,4009073,2,87
6783409,4799003,2,25
5150725,4799019,2,60
6783409,4799002,2,26
5150725,4799018,2,66
5158010,4799018,2,123
5158004,4799022,2,35
5158004,4799023,2,9
5761302,4798987,2,115
5761302,4798986,2,95
6783435,4799026,2,62
4798994,6741233,2,141
4798994,6741231,2,39
5761300,4799004,2,103
4798994,6741232,2,20
5150835,4799025,2,91
6783433,4799025,2,63
5150835,4799024,2,61
5761300,4799005,2,79
6783430,4799020,2,101
6783430,4799021,2,84
7714429,4799006,2,5
7714465,4798986,2,119
7714392,4799006,2,5
7714465,4798987,2,127
7714392,4799007,2,25
7714429,4799007,2,25
4000543,4799005,2,115
4798986,4009067,2,33
4000543,4799004,2,95
5156520,4799007,2,8
5156520,4799006,2,24
7714430,4798988,2,24
4799005,4009073,2,63
7714430,4798989,2,8
4211812,4798986,2,103
4211812,4798987,2,79
5150777,4799024,2,97
6783435,4799027,2,66
4799005,4009067,2,57
6741656,4799001,2,93
5150719,4799016,2,88
5150778,4799024,2,61
6741656,4799000,2,82
5150719,4799017,2,80
5150778,4799025,2,91
5158003,4799025,2,91
6783427,4799018,2,58
5158003,4799024,2,61
5150777,4799025,2,101
6783426,4799018,2,123
4798986,2462,2,205
7714391,4799004,2,103
7714391,4799005,2,79
6783427,4799019,2,66
4799027,5092017,2,142
4799027,5092016,2,84
5158009,4799018,2,58
5158009,4799019,2,66
4799027,5121504,2,25
5156520,4798988,2,24
6783437,4799029,2,15
5156520,4798989,2,8
4799027,5121503,2,66
4799012,6741232,2,20
4799026,5121504,2,27
4799012,6741231,2,39
4799026,5121503,2,62
4799012,6741233,2,141
4798987,7260970,2,131
4000541,4799004,2,103
5150724,4799018,2,58
4798987,2462,2,210
5150724,4799019,2,66
4799026,5092016,2,100
4000541,4799005,2,79
6783428,4799018,2,66
6783428,4799019,2,60
7714465,4799005,2,127
7714465,4799004,2,119
5158022,4798996,2,45
4000541,4798986,2,103
5158022,4798997,2,35
4799025,5092014,2,63
4799025,5092015,2,80
4000541,4798987,2,79
4798987,7260971,2,115
5150726,4799020,2,112
5150723,4799018,2,123
7714391,4798987,2,79
7714391,4798986,2,103
5081757,4799025,2,91
4798987,7260969,2,57
5081757,4799024,2,61
6783433,4799024,2,36
5150726,4799021,2,111
4799004,7260969,2,34
4799025,5121501,2,63
4799025,5121502,2,80
5150728,4799023,2,50
5761301,4799005,2,131
5761301,4799004,2,108
8303807,4799009,2,133
8303807,4799008,2,142
5158008,4799019,2,60
4472721,4799020,2,112
4472721,4799021,2,111
5158008,4799018,2,66
5150728,4799022,2,32
5157025,4799007,2,25
5158006,4799020,2,101
5150718,4799017,2,41
5157025,4799006,2,5
5158006,4799021,2,84
5150718,4799016,2,122
5158001,4799026,2,62
5158002,4799025,2,20
5158002,4799024,2,35
4799004,7260970,2,108
4472720,4799021,2,84
4799004,7260971,2,95
5158001,4799027,2,66
4472720,4799020,2,101
7714428,4798986,2,103
7714428,4798987,2,79
6748607,4799004,2,34
6748607,4799005,2,57
4472728,4798997,2,43
5158000,4799027,2,25
5158000,4799026,2,27
4472728,4798996,2,54
4798986,7260969,2,34
4472718,4799022,2,35
6748606,4798986,2,87
4472718,4799023,2,9
6748606,4798987,2,63
4798995,6741232,2,23
4799004,1717,2,205
4798995,6741233,2,133
4798995,6741231,2,45
4799028,5121505,2,6
7714430,4799006,2,24
4799028,5121506,2,16
5158007,4799020,2,112
7714430,4799007,2,8
5158007,4799021,2,111
4799024,5092014,2,36
4799024,5092015,2,62
5157025,4798989,2,25
5157025,4798988,2,5
4211770,4798987,2,127
7176244,4798997,2,35
7176244,4798996,2,45
4211812,4799005,2,79
6783408,4799003,2,45
4211812,4799004,2,103
4211770,4798986,2,119
4799005,2462,2,210
4799004,4009067,2,33
6783408,4799002,2,52
4799005,7260969,2,57
4000543,4798987,2,115
4000543,4798986,2,95
5761300,4798986,2,103
4799004,4009073,2,87
5761300,4798987,2,79
6741655,4799001,2,112
6741655,4799000,2,101
4798987,1717,2,210
4798986,7260971,2,95
4798986,7260970,2,108
4000542,4798986,2,108
4000542,4798987,2,131
5761301,4798987,2,131
6748607,4798987,2,57
5761301,4798986,2,108
6748607,4798986,2,34
6783438,4799028,2,16
6783438,4799029,2,8
